Book	Chapter	Verse	Text
Zephaniah	1	1	Iyo ini an mensahe na itinao nin Kagurangnan ki Sofonias kan panahon na si Josias na aking lalaki ni Amon iyo an hade nin Juda. (Si Sofonias aking lalaki ni Cusi na aking lalaki ni Gedalias; si Gedalias aking lalaki ni Amarias na aking lalaki ni Hadeng Ezekias.)
Zephaniah	1	2	Nagtaram an Kagurangnan , “Raraoton ko an gabos sa daga,
Zephaniah	1	3	an mga tawo saka mga hayop, an mga gamgam asin mga sira. Ibabagsak ko an gabos na tampalasan. Pupuhoon ko an katawohan digdi sa daga. Ako, an Kagurangnan , an nagtaram.
Zephaniah	1	4	“Papadusahan ko an mga namamanwaan sa Jerusalem asin sa Juda. Raraoton ko an natatadang tanda kan pagsamba ki Baal duman, asin mayo nang makakagiromdom kan mga paganong padi na naglilingkod saiya.
Zephaniah	1	5	Gagadanon ko an siisay man na nagsasakat sa atop dangan nagsasamba sa aldaw, sa bulan, saka sa mga bitoon. Pupuhoon ko man an mga nagsasamba sako asin nanunuga na magigin maimbod sako, alagad nanunumpa sa ngaran kan dios-dios na si Molec.
Zephaniah	1	6	Pupuhoon ko an mga nagtalikod asin dai na nagsusunod sako; an mga dai na nagdodolok sako o nakikimaherak na giyahan ko sinda.”
Zephaniah	1	7	Harani na an aldaw nin paghukom na gigibohon nin Kagurangnan , kaya mag-alo kamo sa atubangan niya. Nag-aandam an Kagurangnan na idolot bilang sakripisyo an saiyang banwaan, asin inalok niya an mga kaiwal tanganing samsaman an Juda.
Zephaniah	1	8	Nagsasabi an Kagurangnan , “Sa aldaw na idto nin panggagadan, papadusahan ko an mga opisyal, an mga aki kan hade, asin an gabos na nagsusunod sa mga dayuhan na kaugalean.
Zephaniah	1	9	Papadusahan ko an gabos na nagsasamba siring sa mga pagano, asin an nanghahabon saka nanggagadan tangani sanang panoon nin sinamsaman an harong nin saindang kagurangnan.
Zephaniah	1	10	“Sa aldaw na idto,” an sabi nin Kagurangnan , “madadangog nindo an paghibi sa Trangkahan nin Sira sa Jerusalem. Madadangog nindo an inagrangay sa bagong kabtang kan syudad asin an dakulang ribok nin pagkarumpag sa kabubuldan.
Zephaniah	1	11	Mag-agrangay kamo asin maghibi kun madangog nindo ini, kamo na nag-eerok sa mga hababang kabtang kan syudad, huli ta magagadan an gabos na negosyante!
Zephaniah	1	12	“Sa panahon na iyan, makua ako nin ilawan dangan malibot ako sa Jerusalem. Papadusahan ko an mga tawong mapaabaw-abaw asin nagsasaboot, ‘Mayo man nin ginigibong maraot o marahay an Kagurangnan .’
