Book	Chapter	Verse	Text
Zephaniah	1	1	Ang pulong sa Ginoo nga midangat kang Zefanias nga anak ni Cusi nga anak ni Gedalias nga anak ni Amarias nga anak ni Hesekias, sa mga adlaw ni Josias nga anak ni Amon, ang hari sa Juda.
Zephaniah	1	2	Akong puohon sa hingpit ang tanang mga butang gikan sa nawong sa yuta, nag-ingon ang Ginoo.
Zephaniah	1	3	“Akong puohon ang tawo ug ang mananap, akong puohon ang mga langgam sa kalangitan, ug ang mga isda sa dagat. Akong pukanon ang mga daotan, akong puohon ang katawhan gikan sa nawong sa yuta, nag-ingon ang Ginoo.
Zephaniah	1	4	Akong tuy-oron ang akong kamot batok sa Juda, ug batok sa tanang mga nagpuyo sa Jerusalem; ug puohon nako niining dapita ang salin ni Baal ug ang ngalan sa mga pari nga nagsimba sa mga diosdios,
Zephaniah	1	5	kadtong nagsimba sa mga panon sa langit nga anaa sa mga atop sa balay; kadtong nagsimba ug nanumpa ngadto sa Ginoo, apan nanumpa pinaagi sa ngalan ni Milcom,
Zephaniah	1	6	sila nga mitalikod sa pagsunod sa Ginoo, kadtong wala mangita sa Ginoo o magpakisayod mahitungod kaniya.”
Zephaniah	1	7	Paghilom sa atubangan sa Ginoong Dios! Kay ang adlaw sa Ginoo ania na; ang Ginoo nag-andam ug usa ka halad ug naggahin sa iyang mga dinapit.
Zephaniah	1	8	Ug sa adlaw sa paghalad alang sa Ginoo, “Akong silotan ang mga tinugyanan ug ang mga anak sa hari, ug ang tanan nga nagsul-ob sa bisti sa mga langyaw.
Zephaniah	1	9	Nianang adlawa akong silotan kadtong tanan nga nanglukso sa tugkaran, ug kadtong nagpuno sa balay sa ilang agalon uban ang pagpanglupig ug pagpanglimbong.”
Zephaniah	1	10	“Nianang adlawa,” nag-ingon ang Ginoo, “usa ka paghilak ang madungog gikan sa Ganghaan sa Isda, dangoyngoy gikan sa Ikaduhang Puluy-anan, ang dakong dahunog sa pagkahugno gikan sa kabungtoran.
Zephaniah	1	11	Pagminatay kamo, O mga lumulupyo sa Mortar! Kay ang tanang tigpatigayon gilaglag na; gipamatay ang tanan nga nagbaligya ug plata.
Zephaniah	1	12	Nianang panahona susihon nako ang Jerusalem ginamit ang mga lampara, ug silotan nako ang mga tawo nga nahiuyon sa ilang kahimtang, nga nag-ingon diha sa ilang kasingkasing, “Ang Ginoo dili magbuhat ug maayo, o magbuhat ug daotan.”
Zephaniah	1	13	Ang ilang kabtangan mahimong sakmiton, ug ang ilang mga balay tumpagon. Bisan ug sila magtukod ug mga balay, sila dili makapuyo niini; bisan ug sila magtanom ug kaparasan, sila dili makainom sa bino gikan niini.”
Zephaniah	1	14	Ang dakong adlaw sa Ginoo duol na, kini nagkaduol na ug hapit na gayod moabot; ang tingog sa adlaw sa Ginoo pait gayod, ang kusgan nga tawo kusog nga nagsinggit didto.
Zephaniah	1	15	Kanang adlawa mao ang adlaw sa kaligutgot, adlaw sa kasamok ug sa kasakit, adlaw sa pagkalaglag ug sa pagkalumpag, adlaw sa kangitngit ug sa kadulom, adlaw sa panganod ug sa hilabihang kangitngit,
Zephaniah	1	16	adlaw sa pagpatingog sa trumpeta, singgit alang sa gubat, batok sa mga kinutaang siyudad ug batok sa mga habog nga mga bantayanang tore.
Zephaniah	1	17	Akong dad-on ang kasakitan diha sa mga tawo, aron sila maglakaw sama sa mga buta, tungod kay sila nakasala batok sa Ginoo; ang ilang dugo iyabo sama sa abog, ug ang ilang unod sama sa kinalibang.
Zephaniah	1	18	Ang ilang plata ug ang ilang bulawan dili makaluwas kanila sa adlaw sa kaligutgot sa Ginoo, sa kalayo sa iyang pagpangabubho, ang tibuok kalibotan maut-ot; kay sa kalit taposon niya sa makalilisang gayod silang tanan nga nagpuyo sa yuta.
Zephaniah	2	1	Panagtigom kamo, panagtigom, O nasod nga walay ulaw,
Zephaniah	2	2	sa dili pa kamo abogon sama sa uhot nga ipadpad, sa dili pa modangat kaninyo ang bangis nga kasuko sa Ginoo, sa dili pa modangat kaninyo ang adlaw sa kaligutgot sa Ginoo.
Zephaniah	2	3	Pangitaa ninyo ang Ginoo, kamong tanan nga mga maaghop sa yuta nga nagtuman sa iyang mga sugo; pangitaa ang pagkamatarong, pangitaa ang pagkamapaubsanon; basin ug kamo tagoan sa adlaw sa kaligutgot sa Ginoo.
Zephaniah	2	4	Kay ang Gaza talikdan, ug ang Askelon mahimo nga biniyaan; sa kaudtohon ang katawhan sa Asdod papahawaon, ug ang Ekron lukahon.
