Book	Chapter	Verse	Text
Titus	1	1	Este carta ta sale con Pablo, un servidor de Dios y un apostol di Jesucristo. Dios ya escoje y ya envia conmigo para ayuda omenta el fe del maga gente escojido tamen de Dios, y para guia canila sabe el verdad. El resulta de ese verdad amo un vida de devocion con Dios,
Titus	1	2	y ese verdad ta dale tamen esperanza de vida hasta para cuando. Dios, quien hende nunca ta habla embusterias, ya promete ese vida eterna antes pa del creacion del mundo.
Titus	1	3	Ya llega ya el buen tiempo ya hace le claro acerca de ese vida eterna na di suyo mensaje, que ta predica yo y que ya dale na di mio cargo por orden de Dios, el di aton Salvador.
Titus	1	4	Ta escribi yo este carta para contigo, Tito, mi verdadero hijo na fe. Ese fe igual kita tiene. Ojala que el Dios Padre y si Jesucristo el di aton Salvador ay dale contigo el di ila gran favor y paz.
Titus	1	5	Ya deja gane yo contigo na isla de Creta para puede tu arregla el maga cosas que debe pa hace, y para nombra tu con el maga oficial del iglesia de cada pueblo. Poreso acorda tu el di mio maga instruccion.
Titus	1	6	El oficial del iglesia debe gayot vivi un vida limpio y nuay nada de culpa. Necesita tene un mujer lang, y el di suyo maga anak necesita tene fe con el Señor y necesita tamen queda obediente, y nuay mal reputacion.
Titus	1	7	Cay el lider del iglesia amo el encargao del trabajo de Dios, poreso ele debe gayot vivi un vida nuay culpa. No debe le domina con otros, ni queda rabiao pronto, ni man borrachon, ni man valiente, ni man avariento.
Titus	1	8	Necesita le otorga recibi visita enbuenamente na di suyo casa, masquin pa estrangero o pobre ese visita, y necesita le ama el maga cosas bueno. Necesita tamen le sabe controla el di suyo maga accion, esta siempre justo, devoto con Dios, y tene diciplina na di suyo vida.
Titus	1	9	Y debe tamen ele esta pijo na mensaje que puede kita confia, cay ese mensaje ta vene acorde con el verdadero enseñanza. Ansina puede le dale animo con otros por medio de ese verdadero enseñanza, y puede le dale mira con otros tamen quien ta anda contra con ese enseñanza que sila ta equivoca gayot.
Titus	1	10	Ese clase de gente amo necesita queda lider, cay tiene alli mucho gente desobediente na autoridad, maga cuachinango lang, y maga engañador. Y tiene di ila maga gente quien ta sigui el religion del maga Judio antes de siguir sila con Jesucristo.
Titus	1	11	Necesita manda canila calla la boca, cay mucho familia ya bira ya cara del verdadero fe por causa del di ila enseñanza falso, que ta enseña sila para hala lang cen.
