Book	Chapter	Verse	Text
Zephaniah	1	1	The word of the Lord that came to Zephaniah son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hezekiah, during the reign of Josiah son of Amon king of Judah:
Zephaniah	1	2	“I will sweep away everything from the face of the earth,” declares the Lord .
Zephaniah	1	3	“I will sweep away both man and beast; I will sweep away the birds in the sky and the fish in the sea— and the idols that cause the wicked to stumble.” “When I destroy all mankind on the face of the earth,” declares the Lord ,
Zephaniah	1	4	“I will stretch out my hand against Judah and against all who live in Jerusalem. I will destroy every remnant of Baal worship in this place, the very names of the idolatrous priests—
Zephaniah	1	5	those who bow down on the roofs to worship the starry host, those who bow down and swear by the Lord and who also swear by Molek,
Zephaniah	1	6	those who turn back from following the Lord and neither seek the Lord nor inquire of him.”
Zephaniah	1	7	Be silent before the Sovereign Lord , for the day of the Lord is near. The Lord has prepared a sacrifice; he has consecrated those he has invited.
Zephaniah	1	8	“On the day of the Lord ’s sacrifice I will punish the officials and the king’s sons and all those clad in foreign clothes.
Zephaniah	1	9	On that day I will punish all who avoid stepping on the threshold, who fill the temple of their gods with violence and deceit.
Zephaniah	1	10	“On that day,” declares the Lord , “a cry will go up from the Fish Gate, wailing from the New Quarter, and a loud crash from the hills.
Zephaniah	1	11	Wail, you who live in the market district ; all your merchants will be wiped out, all who trade with silver will be destroyed.
Zephaniah	1	12	At that time I will search Jerusalem with lamps and punish those who are complacent, who are like wine left on its dregs, who think, ‘The Lord will do nothing, either good or bad.’
Zephaniah	1	13	Their wealth will be plundered, their houses demolished. Though they build houses, they will not live in them; though they plant vineyards, they will not drink the wine.”
Zephaniah	1	14	The great day of the Lord is near— near and coming quickly. The cry on the day of the Lord is bitter; the Mighty Warrior shouts his battle cry.
Zephaniah	1	15	That day will be a day of wrath— a day of distress and anguish, a day of trouble and ruin, a day of darkness and gloom, a day of clouds and blackness—
Zephaniah	1	16	a day of trumpet and battle cry against the fortified cities and against the corner towers.
Zephaniah	1	17	“I will bring such distress on all people that they will grope about like those who are blind, because they have sinned against the Lord . Their blood will be poured out like dust and their entrails like dung.
Zephaniah	1	18	Neither their silver nor their gold will be able to save them on the day of the Lord ’s wrath.” In the fire of his jealousy the whole earth will be consumed, for he will make a sudden end of all who live on the earth.
Zephaniah	2	1	Gather together, gather yourselves together, you shameful nation,
Zephaniah	2	2	before the decree takes effect and that day passes like windblown chaff, before the Lord ’s fierce anger comes upon you, before the day of the Lord ’s wrath comes upon you.
Zephaniah	2	3	Seek the Lord , all you humble of the land, you who do what he commands. Seek righteousness, seek humility; perhaps you will be sheltered on the day of the Lord ’s anger.
Zephaniah	2	4	Gaza will be abandoned and Ashkelon left in ruins. At midday Ashdod will be emptied and Ekron uprooted.
Zephaniah	2	5	Woe to you who live by the sea, you Kerethite people; the word of the Lord is against you, Canaan, land of the Philistines. He says, “I will destroy you, and none will be left.”
Zephaniah	2	6	The land by the sea will become pastures having wells for shepherds and pens for flocks.
Zephaniah	2	7	That land will belong to the remnant of the people of Judah; there they will find pasture. In the evening they will lie down in the houses of Ashkelon. The Lord their God will care for them; he will restore their fortunes.
Zephaniah	2	8	“I have heard the insults of Moab and the taunts of the Ammonites, who insulted my people and made threats against their land.
Zephaniah	2	9	Therefore, as surely as I live,” declares the Lord Almighty, the God of Israel, “surely Moab will become like Sodom, the Ammonites like Gomorrah— a place of weeds and salt pits, a wasteland forever. The remnant of my people will plunder them; the survivors of my nation will inherit their land.”
Zephaniah	2	10	This is what they will get in return for their pride, for insulting and mocking the people of the Lord Almighty.
Zephaniah	2	11	The Lord will be awesome to them when he destroys all the gods of the earth. Distant nations will bow down to him, all of them in their own lands.
Zephaniah	2	12	“You Cushites, too, will be slain by my sword.”
Zephaniah	2	13	He will stretch out his hand against the north and destroy Assyria, leaving Nineveh utterly desolate and dry as the desert.
Zephaniah	2	14	Flocks and herds will lie down there, creatures of every kind. The desert owl and the screech owl will roost on her columns. Their hooting will echo through the windows, rubble will fill the doorways, the beams of cedar will be exposed.
Zephaniah	2	15	This is the city of revelry that lived in safety. She said to herself, “I am the one! And there is none besides me.” What a ruin she has become, a lair for wild beasts! All who pass by her scoff and shake their fists.
Zephaniah	3	1	Woe to the city of oppressors, rebellious and defiled!
Zephaniah	3	2	She obeys no one, she accepts no correction. She does not trust in the Lord , she does not draw near to her God.
Zephaniah	3	3	Her officials within her are roaring lions; her rulers are evening wolves, who leave nothing for the morning.
Zephaniah	3	4	Her prophets are unprincipled; they are treacherous people. Her priests profane the sanctuary and do violence to the law.
Zephaniah	3	5	The Lord within her is righteous; he does no wrong. Morning by morning he dispenses his justice, and every new day he does not fail, yet the unrighteous know no shame.
Zephaniah	3	6	“I have destroyed nations; their strongholds are demolished. I have left their streets deserted, with no one passing through. Their cities are laid waste; they are deserted and empty.
Zephaniah	3	7	Of Jerusalem I thought, ‘Surely you will fear me and accept correction!’ Then her place of refuge would not be destroyed, nor all my punishments come upon her. But they were still eager to act corruptly in all they did.
Zephaniah	3	8	Therefore wait for me,” declares the Lord , “for the day I will stand up to testify. I have decided to assemble the nations, to gather the kingdoms and to pour out my wrath on them— all my fierce anger. The whole world will be consumed by the fire of my jealous anger.
Zephaniah	3	9	“Then I will purify the lips of the peoples, that all of them may call on the name of the Lord and serve him shoulder to shoulder.
Zephaniah	3	10	From beyond the rivers of Cush my worshipers, my scattered people, will bring me offerings.
Zephaniah	3	11	On that day you, Jerusalem, will not be put to shame for all the wrongs you have done to me, because I will remove from you your arrogant boasters. Never again will you be haughty on my holy hill.
Zephaniah	3	12	But I will leave within you the meek and humble. The remnant of Israel will trust in the name of the Lord .
Zephaniah	3	13	They will do no wrong; they will tell no lies. A deceitful tongue will not be found in their mouths. They will eat and lie down and no one will make them afraid.”
Zephaniah	3	14	Sing, Daughter Zion; shout aloud, Israel! Be glad and rejoice with all your heart, Daughter Jerusalem!
Zephaniah	3	15	The Lord has taken away your punishment, he has turned back your enemy. The Lord , the King of Israel, is with you; never again will you fear any harm.
Zephaniah	3	16	On that day they will say to Jerusalem, “Do not fear, Zion; do not let your hands hang limp.
Zephaniah	3	17	The Lord your God is with you, the Mighty Warrior who saves. He will take great delight in you; in his love he will no longer rebuke you, but will rejoice over you with singing.”
Zephaniah	3	18	“I will remove from you all who mourn over the loss of your appointed festivals, which is a burden and reproach for you.
Zephaniah	3	19	At that time I will deal with all who oppressed you. I will rescue the lame; I will gather the exiles. I will give them praise and honor in every land where they have suffered shame.
Zephaniah	3	20	At that time I will gather you; at that time I will bring you home. I will give you honor and praise among all the peoples of the earth when I restore your fortunes before your very eyes,” says the Lord .
Zechariah	1	1	In the eighth month of the second year of Darius, the word of the Lord came to the prophet Zechariah son of Berekiah, the son of Iddo:
Zechariah	1	2	“The Lord was very angry with your ancestors.
Zechariah	1	3	Therefore tell the people: This is what the Lord Almighty says: ‘Return to me,’ declares the Lord Almighty, ‘and I will return to you,’ says the Lord Almighty.
Zechariah	1	4	Do not be like your ancestors, to whom the earlier prophets proclaimed: This is what the Lord Almighty says: ‘Turn from your evil ways and your evil practices.’ But they would not listen or pay attention to me, declares the Lord .
Zechariah	1	5	Where are your ancestors now? And the prophets, do they live forever?
Zechariah	1	6	But did not my words and my decrees, which I commanded my servants the prophets, overtake your ancestors? “Then they repented and said, ‘The Lord Almighty has done to us what our ways and practices deserve, just as he determined to do.’ ”
Zechariah	1	7	On the twenty-fourth day of the eleventh month, the month of Shebat, in the second year of Darius, the word of the Lord came to the prophet Zechariah son of Berekiah, the son of Iddo.
Zechariah	1	8	During the night I had a vision, and there before me was a man mounted on a red horse. He was standing among the myrtle trees in a ravine. Behind him were red, brown and white horses.
Zechariah	1	9	I asked, “What are these, my lord?” The angel who was talking with me answered, “I will show you what they are.”
Zechariah	1	10	Then the man standing among the myrtle trees explained, “They are the ones the Lord has sent to go throughout the earth.”
Zechariah	1	11	And they reported to the angel of the Lord who was standing among the myrtle trees, “We have gone throughout the earth and found the whole world at rest and in peace.”
Zechariah	1	12	Then the angel of the Lord said, “ Lord Almighty, how long will you withhold mercy from Jerusalem and from the towns of Judah, which you have been angry with these seventy years?”
Zechariah	1	13	So the Lord spoke kind and comforting words to the angel who talked with me.
Zechariah	1	14	Then the angel who was speaking to me said, “Proclaim this word: This is what the Lord Almighty says: ‘I am very jealous for Jerusalem and Zion,
Zechariah	1	15	and I am very angry with the nations that feel secure. I was only a little angry, but they went too far with the punishment.’
Zechariah	1	16	“Therefore this is what the Lord says: ‘I will return to Jerusalem with mercy, and there my house will be rebuilt. And the measuring line will be stretched out over Jerusalem,’ declares the Lord Almighty.
Zechariah	1	17	“Proclaim further: This is what the Lord Almighty says: ‘My towns will again overflow with prosperity, and the Lord will again comfort Zion and choose Jerusalem.’ ”
Zechariah	1	18	Then I looked up, and there before me were four horns.
Zechariah	1	19	I asked the angel who was speaking to me, “What are these?” He answered me, “These are the horns that scattered Judah, Israel and Jerusalem.”
Zechariah	1	20	Then the Lord showed me four craftsmen.
Zechariah	1	21	I asked, “What are these coming to do?” He answered, “These are the horns that scattered Judah so that no one could raise their head, but the craftsmen have come to terrify them and throw down these horns of the nations who lifted up their horns against the land of Judah to scatter its people.”
Zechariah	10	1	Ask the Lord for rain in the springtime; it is the Lord who sends the thunderstorms. He gives showers of rain to all people, and plants of the field to everyone.
Zechariah	10	2	The idols speak deceitfully, diviners see visions that lie; they tell dreams that are false, they give comfort in vain. Therefore the people wander like sheep oppressed for lack of a shepherd.
Zechariah	10	3	“My anger burns against the shepherds, and I will punish the leaders; for the Lord Almighty will care for his flock, the people of Judah, and make them like a proud horse in battle.
Zechariah	10	4	From Judah will come the cornerstone, from him the tent peg, from him the battle bow, from him every ruler.
Zechariah	10	5	Together they will be like warriors in battle trampling their enemy into the mud of the streets. They will fight because the Lord is with them, and they will put the enemy horsemen to shame.
Zechariah	10	6	“I will strengthen Judah and save the tribes of Joseph. I will restore them because I have compassion on them. They will be as though I had not rejected them, for I am the Lord their God and I will answer them.
Zechariah	10	7	The Ephraimites will become like warriors, and their hearts will be glad as with wine. Their children will see it and be joyful; their hearts will rejoice in the Lord .
Zechariah	10	8	I will signal for them and gather them in. Surely I will redeem them; they will be as numerous as before.
Zechariah	10	9	Though I scatter them among the peoples, yet in distant lands they will remember me. They and their children will survive, and they will return.
Zechariah	10	10	I will bring them back from Egypt and gather them from Assyria. I will bring them to Gilead and Lebanon, and there will not be room enough for them.
Zechariah	10	11	They will pass through the sea of trouble; the surging sea will be subdued and all the depths of the Nile will dry up. Assyria’s pride will be brought down and Egypt’s scepter will pass away.
Zechariah	10	12	I will strengthen them in the Lord and in his name they will live securely,” declares the Lord .
Zechariah	11	1	Open your doors, Lebanon, so that fire may devour your cedars!
Zechariah	11	2	Wail, you juniper, for the cedar has fallen; the stately trees are ruined! Wail, oaks of Bashan; the dense forest has been cut down!
Zechariah	11	3	Listen to the wail of the shepherds; their rich pastures are destroyed! Listen to the roar of the lions; the lush thicket of the Jordan is ruined!
Zechariah	11	4	This is what the Lord my God says: “Shepherd the flock marked for slaughter.
