Book	Chapter	Verse	Text
Zephaniah	1	1	Daytoy ti mensahe ni Yahweh nga imbagana ken ni Sofonias idi ni Josias nga anak ni Amon ti ari ti Juda. (Nagtaud ni Sofonias iti familia ni Ari Hezekias a kapuonan da Amarias, Gedalias ken Cusi.)
Zephaniah	1	2	Kinuna ni Yahweh, “Dadaelekto ti amin nga adda iti daga,
Zephaniah	1	3	amin a tattao ken animal, tumatayab ken ikan. Ipamuspusak ti pannakatnag dagiti managdakdakes. Pukawekto ti sangkataoan iti rabaw ti daga ket awanto ti makalasat. Ni Yahweh ti nagsao iti daytoy.
Zephaniah	1	4	“Dusaekto dagiti tattao iti entero a Juda ken Jerusalem. Pukawekto ti maudi a pakakitaan iti panagdaydayaw ken ni didiosen a Baal sadiay, ket awanto ti makalagip uray dagiti papadi nga agserserbi kenkuana.
Zephaniah	1	5	Dadaelekto ti siasinoman a mapan iti tuktok ti balay nga agdaydayaw iti init, iti bulan ken kadagiti bituen. Dadaelekto pay dagiti agdaydayaw kaniak ken mangisapata iti kinapudnoda kaniak ngem pagsapatada met ti nagan ni didiosen a Milcom.
Zephaniah	1	6	Pukawekto dagiti saanen a sumurot kaniak, dagiti saan nga umay wenno paidalan kaniak.”
Zephaniah	1	7	Umasidegen ti aldaw a panagtugaw ti Apo a kas ukom. Agulimekkayo iti imatangna. Agsagsagana ti Apo a mangisakrifisio kadagiti tattaona ket inawisna dagiti kabusor a mangdadael iti Juda.
Zephaniah	1	8	Kuna ti Apo , “Iti dayta nga aldaw a panagparti, dusaekto dagiti ofisiales, dagiti annak ti ari ken amin a tumultulad kadagiti ugali dagiti ganggannaet.
Zephaniah	1	9	Dusaekto dagiti agdaydayaw a kasla kadagiti pagano, dagiti agtakaw ken agpapatay tapno pusekenda ti templo ti diosda kadagiti sinamsamda.”
Zephaniah	1	10	Kuna ti Apo , “Iti dayta nga aldaw, mangngegyonto ti ikkis nga aggapu iti Ruangan ti Ikan idiay Jerusalem. Mangngegyonto ti sangsangit dagiti tattao iti baro a paset ti siudad. Matimudyonto ti napigsa a daranudor ti pannakarba kadagiti turod.
Zephaniah	1	11	Inton mangngegyo daytoy, agsangit ken agdung-awkayo, dakayo nga agnaed iti akimbaba a paset ti siudad, gapu ta matayto amin nga agtagtagilako!
Zephaniah	1	12	“Iti dayta a tiempo, mangalaakto iti silaw ket sukimatek ti Jerusalem. Dusaekto dagiti tattao a pulos nga awan ti pannakipagriknada iti padada a tao ken mangipagarup a natalgedda ken agkuna iti bagida, ‘Awan ti aramiden ti Dios, naimbag man wenno dakes.’
Zephaniah	1	13	Masamsamto ti kinabaknangda. Madadaelto dagiti balbalayda. Didanto agnaed kadagiti balay a patpatakderenda wenno uminum iti arak ti ubas nga imulmulada.”
Zephaniah	1	14	Asidegen ti naindaklan nga aldaw ni Yahweh—asideg unayen ket sipapardas nga umay! Nasaemto dayta nga aldaw, ta uray dagiti katurdan a soldado agsangitdanto iti kaawanen namnamada.
Zephaniah	1	15	Aldaw ti pungtot dayta nga aldaw, aldaw ti rigat ken riribuk, aldaw ti panagdadael ken panagrakrak, aldaw ti sipnget ken lidem, aldaw ti ulep ken bagio,
Zephaniah	1	16	aldaw ti uni ti trumpeta a mangipakdaar iti gubat, aldaw ti ikkis dagiti mannakigubat a mangraut kadagiti nasarikedkedan a siudad ken nangato a pagwanawanan.
Zephaniah	1	17	Kuna ti Apo , “Yegkonto dagiti kakasta a didigra iti sangkataoan ket urayto la kasla bulsek nga agkarkarawa a magna ti tunggal maysa. Nagbasolda kaniak ket kasla danum a maibuyatto ti darada; agkaiwaranto iti daga dagiti agruprupsa a bangkayda.”
