Book	Chapter	Verse	Text
Zephaniah	1	1	Ang polong sang Ginoo nga nag-abut kay Sofonias nga anak ni Cusi, ang anak ni Gedalias, ang anak ni Amarias, ang anak ni Ezequias, sa mga adlaw ni Josias nga anak ni Amon, hari sang Juda.
Zephaniah	1	2	“Papason ko sing bug-os ang tanan nga butang sa kadaygan sang duta,” nagasiling ang Ginoo .
Zephaniah	1	3	“Papason ko ang tawo kag sapat; papason ko ang kapispisan sang mga langit kag ang kaisdaan sang dagat. Landason ko ang mga malauton; utdon ko ang tawo gikan sa kadaygan sang duta,” nagasiling ang Ginoo .
Zephaniah	1	4	“Untayon ko ang akon kamut batok sa Juda, kag sa tanan nga mga pumuluyo sang Jerusalem; kag papason ko sa sining duug ang nabilin ni Baal kag ang ngalan sang diwatahan nga mga sacerdote;
Zephaniah	1	5	ang mga nagasimba sang kasoldadosan sang langit sa mga atop; ang mga nagasimba kag nagasumpa sa Ginoo kag walay sapayan nagasumpa kay Malcam;
Zephaniah	1	6	ang mga nagatalikod gikan sa pagsonod sa Ginoo , nga wala nagapangita sa Ginoo ukon nagpamangkot sa iya.”
Zephaniah	1	7	Hipus ka sa atubangan sang Ginoong Dios ! Kay ang adlaw sang Ginoo malapit na; ang Ginoo nakaaman sing halad kag nakapakabalaan sang iya mga inagda.
Zephaniah	1	8	Kag sa adlaw sang halad sang Ginoo —“Silotan ko ang mga principe kag ang mga anak nga lalaki sang hari kag ang tanan nga napanaptan sing panapton nga dumuloong.
Zephaniah	1	9	Sa sadtong adlaw silotan ko ang tanan nga nagaliktin sa atangan, kag ang nagapuno sang balay sang ila agalon sing panglugus kag paglimbong.”
Zephaniah	1	10	“Sa sadtong adlaw,” nagasiling ang Ginoo , “mabatian ang sininggit gikan sa Gawang sang Isda, paghaya gikan sa Ikaduha nga Ikap-at nga Bahin, ang dakung huganas gikan sa kabakoloran.
Zephaniah	1	11	Haya, O mga pumuluyo sang Manubo nga Banwa! Kay ang tanan nga katawohan sang Canaan nawala; tanan nga nalulanan sing pilak napapas.
Zephaniah	1	12	Sa sadtong tion usisaon ko nga may mga sulu ang Jerusalem, kag silotan ko ang mga tawo nga yara sa ila mga lagdo, nga nagasiling sa ila tagiposoon, ‘Ang Ginoo indi maghimo sing maayo, ukon maghimo sia sing malaut.’
Zephaniah	1	13	Ang ila manggad mangin-inatihan, kag ang ila mga balay manginmamingaw. Bisan magapatindug sila sing mga balay, indi sila makapuyo sa ila; bisan magatanum sila sing mga ulubasan, indi makainum sila sang alak nila.”
Zephaniah	1	14	Malapit na ang dakung adlaw sang Ginoo , malapit ini kag nagadalidali sing tama; ang tingug sang adlaw sang Ginoo mapait, ang gamhanan nga lalaki nagasinggit sing didto.
Zephaniah	1	15	Yadtong adlaw amo ang adlaw sang kasingkal, adlaw sang kagamo kag kalisud, adlaw sang kalaglagan kag kamingaw, adlaw sang kadudulman kag kaguum, adlaw sang mga gal-um kag pitipit nga kadudulman,
Zephaniah	1	16	adlaw sang budyong kag paandam batok sa mga banwa nga napamakuran kag batok sa mataas nga mga torre.
Zephaniah	1	17	Dalhon ko ang kalisud sa mga tawo, agud nga maglakat sila kaangay sang mga tawong bulag, bangud nga nakasala sila batok sa Ginoo ; ang dugo nila ulaon subong sang yab-ok, kag ang ila unud subong sang ipot.
Zephaniah	1	18	Bisan ang ila pilak ukon ang ila bulawan indi sarang makaluwas sa ila sa adlaw sang kasingkal sang Ginoo . Ang bug-os nga duta halunhonon sang kalayo sang iya kaimon; kay ang bug-os, hoo, ang hinali nga pagtapus himoon niya sa tanan nga nagapuyo sa duta.
Zephaniah	2	1	Tilipon kamo sing tingub kag magsinapul, O pungsud nga walay huya,
Zephaniah	2	2	sa wala pa matabog kamo, subong sang labhang, sa wala pa mag-abut sa inyo ang mapintas nga kaakig sang Ginoo , sa wala pa mag-abut sa inyo ang adlaw sang kaakig sang Ginoo .
Zephaniah	2	3	Pangitaa ninyo ang Ginoo , kamo tanan nga mapainubuson sang duta, nga nagbantay sang iya mga pagsolondan; pangitaa ang pagkamatarung, pangitaa ang pagkamapinaubuson; ayhan malipdan kamo sa adlaw sang kaakig sang Ginoo .
Zephaniah	2	4	Kay ang Gasa bayaan, kag ang Ascalon manginmamingaw; ang katawohan sang Asdod tabogon sa kaodtohon. kag ang Ecron gabuton.
Zephaniah	2	5	Kailo ang mga pumuluyo sang baybayon, ang pungsud sang mga Ceretnon! Ang polong sang Ginoo batok sa inyo, O Canaan, duta sang mga Filistinhon; kag laglagon ko ikaw agud nga wala na sing pumuluyo.
Zephaniah	2	6	Kag ikaw, O baybayon, manginhalalban, mga wayang sang mga manugpahalab kag mga toril sang mga panong.
