Book	Chapter	Verse	Text
Titus	1	1	Si Pablo ako a pachirawatan no Dios as kano asa ka apostol ni Jesu Cristo a tinovoy a mapawnot sira so pinidi sa no Dios a masaray ni Jesu Cristo as kano mapapanmo nia dira o kakawyoran aya a niaya so mapawnot do kaparin no viay a ipakamia no Dios.
Titus	1	2	Natovoy ako a mapawnonong so kayan no panapanayahen a viay a abo so pandan no masaray nia a nia so nipromisa no di aya maynyoha a Dios do manam kano nakamaog na so mondo aya.
Titus	1	3	As do tinongdo na a tiempo am tayto na pinapanmo ya as katayto na tomnovoy kano naparawat sia diaken no Dios aya a Mangahwad ta o anongen ko a mapawnonong sia.
Titus	1	4	Tolas ko ya dimo mo Titus a asa ko a kamanganakan do panganohdan taya. Bendisionan ka pa no Dios Ama kani Jesu Cristo a Mangahwad ta as kapakarawat mo pa so grasia kano kaydamnayan no aktokto.
Titus	1	5	Nividin koymo do Creta tapian patongtongen mo o sinitnan tawri a parinyen a kanatonan no kapanongdo sira so adngedngeyen do timban do matatarek sawri a kavahayan a akma so niyokoyokoran ko nimo.
Titus	1	6	Mamidi ka sira so abo so kaparoparoan, sira o asa so kakovot, sira so napaynananawo so kamanganakan da a manganohed do Dios, kanib da as dia vahey do marahet a dadakay da.
Titus	1	7	Ta no asa aya ka adngedngeyen am mayanong a abo so kaparoparoan takwan no Dios o payserbian na. Mayanong ava o kapapospos na so ichakey na anmana kasosolien na. Mayanong ava o kaynoynomen na as kano kalakam na no kartos.
Titus	1	8	Mayanong sia a mayavayavahen, kanawri no chitahen na o ichapia no kadwan, masolib a mapaysovosovol so atavo, mapia so disiplina do viay na, mapia so dadakay, manamonamo so kaparin no viay.
Titus	1	9	Mayanong o kahni na do panganohdan taya a nanawo a tayto ta ipananawo tapian maparin a mian o anohed na a mapaynananawo so kadwan as kano maparin na sa matbay o omsobna so kakawyoran aya,
Titus	1	10	takwan aro sa o maskeh a manngey as nawri so parinyen o kapakachirichirin da so abo so sinmo as kano ipaychawaw da so kadwan. Havnan da nia am sira o Judeo saya a mapapospos pa sia onotan o matatarek a panyokoyokoran a nia so vata da a ichalibri no tawo.
Titus	1	11	Mayanong saya pabhesen a mananawo takwan arava machipasonong o ipananawo da, ta niaya am paychakartosan da as mian sa o familia a mapaytavotavo da so membro a paychawawen.
Titus	1	12	Asa ka rakoh so pinachinanawan dira do iCreta saya o nakavata sia ya, “No iCreta sa am mavahey sa fermi a maydaday as oyod sa mangananawa a tawo. Matatalakak sa ta no kakan da o ichakey da.”
Titus	1	13	Mian o kakawyoran do akmaya sia a vatahen da, dawa makaistrikto ka do kapatanggal mo sira,
Titus	1	14	tapian di nawri o onotan da o aro saya a abo so sinmo a kakawnonongan da no Judeo as kano kadwan pa sa a panyokoyokoran da a machikontra do kakawyoran a nanawo no Dios.
Titus	1	15	Do manamonamo so viay am arava o dagen da asna dira do di pa manganohed do kakawyoran aya as tayto pa do pakagatogatosan am aro o sincharan da marahet kano dagen as no pangtoktoan da am pakamarahten da o atavo a aran tori sa mapia.
Titus	1	16	Vatahen da o kapanganohed da do Dios amna no mismo da viay am machisobna do ichakey na. Isoli sa ya no Dios kano mayanong sava a mayserbi sia.
Titus	2	1	Pero imo am nawri sa o ipananawo mo o kaparin aya no viay a mayanong do asa ka makapanmo so kakawyoran aya.
Titus	2	2	Iyokoyokod mo sa o matotoneng a mahahakay do kapakapia da sia o disiplina da do viay da manoma as kapakasolib da do atavo a parinyen da. Kapakahni da so saray da no Dios as kapakarakoh da so addaw da no kadwan kano kapakarakoh da so agwanta do pakasisian.
Titus	2	3	Alit pa no kayokoyokod mo nira no matotoneng sa a mavavakes do kapakapatak da do dadakay da a mavoya no tawo. Nawri ava o mayanong dira o kaaro no maparahet a vahevahey anmana no kaynoynomen da as nawri o mayanong o kapayvadiw da a ehemplo do mapia a kaparin no viay,
Titus	2	4	a nia so ichaparin da a mapawnot sira so mametmetdeh pa sa a mavavakes a maddaw kano mapia so kapayserbi dira do kakovot da kano kamanganakan da sa,
Titus	2	5	as makapanmo so mayanong da parinyen, kapakanamonamo da so viay, kanawri no isanga da parinyen o anongen da do sinahad no vahay, as mapavoya nia o katanoy da do atavo a parinyen da as katoroh da so anib kano anohed do kakovot da. Ta niaya a kaparin no viay o mapavawa so kaparoparoan no chirin aya no Dios.
Titus	2	6	Iyokoyokod mo sa o makahekahenakan pa sa a mahahakay do kapakasolib da a maypavawa do marahet as kanawri no chitahen da o mayanong.
Titus	2	7	Do atavo a parinyen mo am ipavoya mo o mismo mo a viay a asa ka ehemplo dira. Do kapananawo mo am makapatak ka as kapakasolib mo do ipabebhes mo sia,
Titus	2	8	as kapananawo mo no kakawyoran aya a abo so kaparoan sia tapian sira o makey a omsobna dimo am mabo o paroan da dimo as kasira no matadiorong a kasnekan.
Titus	2	9	Iyokoyokod mo sa o pachirawatan do kapanganohed da a mian so anib as kachita da so kapakamia da so apohen da as kadi da atbatbayan.
Titus	2	10	Iyokoyokod mo sa a di mangotangotap dira do apohen da, asna no kapavoya da no kaparin a masaray nira do atavo tapian mavoya dira o kapia no nanawo no Dios aya a Mangahwad ta.
Titus	2	11	Onotan ta sa ya atavo takwan no kalibrian aya a makayamot do grasia no Dios am tayto na rapiten o atavo a klase no tawo,
Titus	2	12	a nia so tayto a omnanawo diaten a tomadichokod do atavo a pakagatogatosan kano pakamian so karakohan do mondo aya as kanawri no pawnotan na diaten o viay a mapia so disiplina as nawri so chitahen o mayanong as ipakamia no Dios,
Titus	2	13	as mavidin a ompanapanaya so makasoyosoyot aya kano makakniknin a kapayvidi no mato a Dios as Mangahwad taya a si Jesu Cristo,
Titus	2	14	a iya so tomnoroh no viay na a omlibri diaten do pakagatogatosan as kapawnot na diaten do kanamonamoan tapian mayvadiw ta a tawotawo na a nawri so chitahen o atavo a mapia a pariparinyen.
Titus	2	15	Ipananawo mo sa ya as kapakangdet mo a omyokoyokod nira no somada as kapakapatak mo tapian abo o mavavata da dimo do anongen moaya.
Titus	3	1	Ipananawo mo o kapanganohed kano kanib sira so atavo a mian do payanongan kano kawnot do abtas as kapachikopera da do ichapia no komavahayan.
Titus	3	2	Ipananawo mo o kadi na mayanongan no kapakachirichirin so omrarayaw so kadwan anmana no kapaysosobna, ta nawri o mayanong o kapakatanoy kano katoroh so anib do atavo a tawo.
Titus	3	3	Takwan do nakarahan am napanmo tava o mayanong as nisobna ta o ichakey no Dios as kanawri no inonotan ta o tanyan ta ichakey as pakamian so karakohan ta, kapno no viay ta no kapakagatogatos kano inanahet as kapaychokontra ta.
Titus	3	4	Amna do rakoh a addaw kano kasisien no Dios aya a Mangahwad ta
Titus	3	5	am nilibri na yaten. Makayamot ava ya do nakayan no pinarin ta mapia asna makayamot do kasisien na as kan do nakalinis na diaten do nakapirwa ta a mawara as kano nakayavayo na diaten no Masanto a Espirito.
Titus	3	6	Makayamot di Jesu Cristo a Mangahwad ta am narawat ta o Masanto aya Espirito a rakoh so ipakapamarin do viay ta,
Titus	3	7	tapian do nakapayvadiw ta a mahosto do salapan no Dios a makayamot do grasia na am mian pa o panapanayahen ta a marawat do abo aya so pandan a viay ta.
Titus	3	8	No akma saya sia a chirin am kakawyoran as rakoh so sinmo kano kapian nia no tawo, dawa ichahoho ko o kadi mo omhemhesan nia a ipananawo tapian sira o tayto dana manganohed do Dios am pawyoren da o kachita da so kapamarin da so mapia.
Titus	3	9	Pero pachivawan mo sa o abo so sinmo a istoria a akma so komapet do nanma sa tawo as kano abo so inmonmoan a kakawnonongan, aran no paysesepangan kano paysosobnan sa do komwan do panyokoyokoran, takwan arava o sinmo da nia kano arava o mahap mo a mapia dia.
Titus	3	10	As no tawo a mananawo so paysosobnan am pachivawan nio an nakarahan o makapaypidwa a kapatanggal nio sia,
Titus	3	11	do kapanmo nio sia o nakatadichokod na do kakawyoran as katogod na makagatos a nia so kavoyan so kasivog na nayrahet.
Titus	3	12	An nakarapit anti o asa dira da Artemas kani Tychicus am tiban mo pa o kapachivayat mo diaken do Nicopolis a dawri so yanan ko do amian aya.
Titus	3	13	Sidongen mo pa sa abogado Zenas kani Apollos do paykaylanganan da do biahe da.
Titus	3	14	Katiban mo o kasolib da no kakakteh ta saya daw a komita so kapanidongan da a akma so kayan daya no mian so pangaylanganan tapian mian o kavoyan so kapanganohed darana do Dios.
Titus	3	15	Tayto sa mapakapia so Dios dinio o atavo saya a rarayay ko. Kapian pa no Dios o kakakteh ta sa a tori a makanakem as maddaw niaten. Bendisionan kamo pa atavo no Dios as katoroh na pa dinio so grasia na.
