Book	Chapter	Verse	Text
Zephaniah	1	1	Iti ya ing mensahi na ning Ginu a binie na kang Zepania kanitang i Josias a anak nang Amon ya ing ari na ning Juda. (Ibat ya i Zepania king lahi nang Aring Hezekia king kapamilatan da ri Amaria, Gedalias, at Cusi.)
Zephaniah	1	2	Ngana ning Ginu , Siran ku ngan ing sablang bage keti king yatu:
Zephaniah	1	3	ding sablang tau, animal, ayup, at asan. Ibagsak ku la ngan ding e mayap. Paten ku la ding sablang tau; alang mitagan metung man. Aku, ing Ginu , ing migsalita.
Zephaniah	1	4	Parusan ku la ding memalen na ning Juda at ing mabilug a Jerusalem. Buran ku karin ing nanumang bakas ning pamanyamba kang Baal, at ala nang metung mang makaganaka pa karing paganung pari a susuyu keting dios-diosan.
Zephaniah	1	5	Paten ke ing ninumang mumukiat king bubungan at sasamba king aldo, king bulan, at karing batuin. Paten ku la naman detang sasamba at susumpang katapatan kanaku, at kaybat gagawang kapangakuan king lagyu na ning kikilalanan dang dios a i Molek.
Zephaniah	1	6	Paten ku la detang ginulut kanaku at e na bitasang tutuki kanaku, detang e na lalapit kanaku o mangutang at manintun kanaku.
Zephaniah	1	7	Magtahimik kayu arapan na ning Ginung Dios ! Malapit ne ing aldo nang pamanukum. Magsadia ya ing Ginu ba na lang isakripisyu ding taung pinili na, at kinumbira na na la ding kalaban ban kuanan da ing pibandian na ning Juda.
Zephaniah	1	8	Potang datang ne ing aldo ning pamakamate, nganang sasabi ning Ginu , parusan ku la ding pamuntuk, ding anak nang lalaki ning ari, at ding sablang makiapus karing ugali da ring dayuan.
Zephaniah	1	9	Potang datang ne ing aldong ita, parusan ku la ding sablang sasambang anting paganu at manako at makamate ban katmuan de king penako ra ing templo na ning karelang kikilalanan a dios.
Zephaniah	1	10	Potang datang ne ing aldong ita, nganang sasabi ning Ginu , makaramdam kayung manangis king Pasbul dalan ning Asan ning Jerusalem. Damdaman yu lang manangis ding taung atyu king mas bayung dake na ning siudad, at damdaman yu ing masikan a lagusgus a manibatan karing bunduk-bundukan.
Zephaniah	1	11	Managulele kayu at tumangis potang damdaman yu na iti, ikayung manuknangan king mababang dake na ning siudad, uling mate la ding sablang komersianti!
Zephaniah	1	12	King panaun a ita kuma kung sulu at saliksikan ke ing Jerusalem. Parusan ku la ding taung tiwala king panatag dang kabilian a sasabi king lub da, E ya dapat nanumang mayap o e mayap ing Ginu .
Zephaniah	1	13	Mayakua ing karelang pibandian at malasak la ding bale ra. E na la makapanuknangan kapilan man karing bale a tatalakad da o makainum alak ibat karing tanaman dang ubas.
Zephaniah	1	14	Malapit ne ing marangal nang aldo ning Ginu ; malapit neng malapit at mabilis yang daratang! Ing aldong ita maging aldo yang mitmung pait, uling tumangis la pati ding pekamatapang nang sundalus uli na ning ala lang akarapat!
Zephaniah	1	15	Maging aldo ne ning maragul a mua; aldo ne ning kaguluan at kalipitan, aldo ne ning pangalasak at kasiran, aldo ne ning karalumduman at kalungkutan, aldo yang matamle at malulam;
Zephaniah	1	16	metung yang aldo a mitmu king inge da ring trumpetang mamaus king pamakigera at king kulisak da ring sundalung lulusub karing pakapader a siudad at mangatas a tore.
Zephaniah	1	17	Nganang sasabi ning Ginu , Paratang kung alang kalupang kasiran karing sablang tau angga king ing balang metung lumakad yang kakapkap a antimo ing taung bulag. Mikasala la kanaku, inya ngeni ing daya ra magus anti ing danum at muluk lang pakapase king gabun ding karelang bangke.
Zephaniah	1	18	King aldo a ipakit na ning Ginu ing maragul nang mua, ala lang akarapat ding sabla rang pilak at gintu ban miligtas la bie. Masira ya ing mabilug a yatu king api na ning mua na. Dinan nang wakas, wa, bigla nang dinan wakas ing bie ning balang mabibie keti king yatu.
