Book	Chapter	Verse	Text
Titus	1	1	Ako si Pablo na kanang Dios sogwanun, yagasolat ako kanmo, kay Tito. Yamaimo ako apostol ni Jesu Kristo kay syosogo ako naan adto sang manga pinili nang Dios antak kadogangan yang kanilan pagtoo aw antak katigaman nilan yang kariko nang matungtung na pagindo bain sang tinuud na tinoowan natu.
Titus	1	2	Syosogo ako na apakaindoon silan antak silan maiman na akaaronan nang kinaboi na way kataposan na dadaan da syaad nang Dios nang wa pa naan imowa yang donya. Di amaimo na di otomanun nang Dios yang kanaan saad kay di yaan magkagaro.
Titus	1	3	Wakaw pagdatung nang allaw na pipili nang Dios, pakatigam naan yang kanaan madyaw na batok bain sang kinaboi na way kataposan na syasaad naan. Kayan yang pagbabatokon saan na batok syasarig kanak nang Dios na yagarowas kanatu.
Titus	1	4	Ikaw, kay Tito, maynang tudtuud anak ko tungud sang pagtoo ta kang Jesu Kristo. Yabay ta kaw ampo sang Ama na Dios aw kang Jesu Kristo na kanatun Mallorowas antak kaw abay panalanginan antak marinaw yang dumdum mo.
Titus	1	5	Sabo bibilin ta kaw dig Kreta antak mo taposon yang maski nana na wa pa akatapos disaan aw antak mo piliin yang imoon manga pastor nang manga tomotoo disang kariko nang simbaan disaan na banwa. Ayaw pagkaringawi yang pyagaindo ko kanmo bain sang imoon mo manga pastor nang manga tomotoo.
Titus	1	6	Yang imoon mo pastor nang manga tomotoo kinaanglan na way maat na imo na ikitaun digkanaan. Isa ra yang asawa naan kay maat aw marim pa yaan sang kadaygan na bobay. Kinaanglan manga tomotoo yang manga anak naan na arag madyaw yang batasan antak way akapagsaway kanilan. Dili silan magpangonot sang kanilan ginawa toyo yangagad sang kanilan taganak.
Titus	1	7	Tungud kay yang manga pastor nang manga tomotoo yang syosogo nang Dios pagdomara sang manga tomotoo, kinaanglan na way maat na imo na akapagsaway kanaan. Kinaanglan na dili yaan magparabaw sang kadaygan, di magkasapingsaping madaman, di maglasinglasing, buku nang maat yang ontol, buku nang sapi yang dakora sang ginawa naan.
Titus	1	8	Kinaanglan na matayod yaan sang manga domadatung. Yang pyaparabi nang kanaan ginawa yang pagimo sang madyaw, matigam magdumdum daw nana yang madyaw aw maat. Di yaan maglapas sang balaod awgaid yangagad yaan sang pagbuut nang Dios. Kinaanglan na matigam yaan magarili sang maat.
Titus	1	9	Kinaanglan na yaan yang asarigan naan abay yang sorit nang Dios na pyagaindo kanaan antak yaan makadasig sang manga otaw pinasobay sang matungtung na pagindo, aw antak yang manga otaw na yosopak saan na pagindo matigam sang kanilan sayup.
Titus	1	10	Kay madaig yang mabagsug yang oro na wa mangagad sang pyagaindo kanilan, labi pa yang manga tomotoo na Judio na yagalaong na maat aw dili mangagad yang kadaygan na manga tomotoo sang kanilan batasan na syosolat ni Moises kadini. Way kakabosan nang kanilan sorit, gyagaway nilan yang manga otaw antak silan toowan.
Titus	1	11	Sagdaa yang manga otaw na magasorit nang maynaan kay syasapadan nilan yang pagtoo nang kadaygan pinaagi sang kanilan pagindo. Buku nang madyaw yang kanilan pagindo, yagaindo silan antak silan makasapi.
Titus	1	12	Aon digkanilan matikadung na taga Kreta na yagalaong bain sang arag silan, laong, “Yang manga otaw na taga Kreta manga mangkagaro, maat yang ontol nilan, mangkatikaan, laban mangkataka, di maggawbuk.”
Titus	1	13	Matungtung sa agaw yang pyagalaong naan. Wakaw sagdaa silan aw pagindowa antak matorid yang kanilan pagtoo kang Jesu Kristo.
Titus	1	14	Paglaonga silan antak di da silan tomoo sang kanang Judio gogodanun na buku nang matungtung. Paglaonga arag silan antak di da silan mangagad sang manga imoimo nang manga otaw na wa atangkap sang matungtung na pagindo.
Titus	1	15	Aw matarong yang otaw, arag matarong yang kanaan pagdumdum bain sang maski nana na amapagguna kanaan. Awgaid aw buku nang matarong yang otaw kay wa otoo sang Dios, yang imo naan na maat magadogang. Yanaram da yaan nang maat na imo wakaw wa yaan makadumdum nang madyaw.
