Book	Chapter	Verse	Text
Zephaniah	1	1	Sikato yay salita ya inter na Katawan ed kinen Sofonias legan na panaon ya arid Juda si Josias a lakin anak nen Amon. (Si Sofonias et anak nen Cusi tan apo nen Gedalias. Si Gedalias et anak nen Amarias tan si Amarias anak nen Ari Ezekias.)
Zephaniah	1	2	Say Katawan kuanto, “Sigput kon deralen ya amin iray bengatlan walad tapew na dalin,
Zephaniah	1	3	amin a totoo tan amin ya ayayep, amin a manok tan amin a sira. Iyakar koy pakapelag da ray totoon maoges. Deralen koy amin a katoowan, et anggapon balut so nakeraan a mabilay. Siak, say Katawan , so nansalita.
Zephaniah	1	4	“Dusaen ko ray totood Jerusalem tan amin a totood Juda. Paandipaten kod man ya amin iray pakanengnengan na panangigalang ed kinen Baal, et anggapo lad satan so makanunot ed anggan siopan parin manlilingkur ed sikato.
Zephaniah	1	5	Pateyen koy toon oonlad toktok na abung a mangigalang ed agew, bulan, tan saray bitewen. Pateyen ko met iray mangigagalang ed siak, tan mansasamban matoor ed siak, balet kabekta mansamba ra ed ngaran na dios a Moloc.
Zephaniah	1	6	Pateyen ko ray angibeneg ed siak, tan ag da ak la totombuken, saray ag onsisingger ed siak odino papaiwanwan ed siak.”
Zephaniah	1	7	Asingger lay isabi na agew ya onyorung a manintinsia so Katawan , kanyan mandeen kayo ed arap to. Ipaparaan na Katawan ya ibagat iray totoo to tan binagaan to ray kalaban a manamsam ed kayamanan na Juda.
Zephaniah	1	8	Kuay Katawan , “Diad satan ya agew a pambagat, dusaen ko ray opisyal, saray lalakin anak na ari, tan amin da ray mangaalig na ogali na saray arum a bansa.
Zephaniah	1	9	Dusaen kon amin iray mangigagalang a singa saray pagano tan mantatakew tan mampapatey ira, pian napano ra na sinamsam so abung na amo ra.
Zephaniah	1	10	“Diad satan ya agew,” kuay Katawan , “narengel yoy akisan ed Puirta na Sira ed Jerusalem. Narengel yoy panogaogan ed balo-balon parti na siudad tan say baleg ya ungol na katebag na kapokdulan.
Zephaniah	1	11	No narengel yo ra ya, akis tan managogul kayo, sikayon manaayam ed abeban parti na siudad, ta ompatey ya amin iray nigosianti!
Zephaniah	1	12	“Diad satan a panaon mangala ak na lamparaan, ta sokimaten koy Jerusalem. Dusaen ko ray totoon singa ag ompatepatey tan mataletalek a kuandad sikaran dili, ‘Ag manggawa na maung odino maoges so Katawan .’
Zephaniah	1	13	Nasamsam iray kayamanan da tan naderal iray kaabungan da. Ag iran balut makapanayam ed abung ya ipapaalagey da odino natawayan so alak a manlapud itatanem dan kaubasan.”
