Book	Chapter	Verse	Text
Titus	1	1	Ako si Pablo nga miyugserbisyo ng Dios kag apostol* ni Hesu-Kristo. Gingsugò ako sa mga gingpilì ng Dios para palig-unon ang inda pagtuo kag agud itudlò ang kamatuuran kung pauno ang pagkabuhì sa kabubut-on ng Dios.
Titus	1	2	Agud paagi diri, magkaigwa sinda ning paglaom sa kabuhì nga wayà katapusan nga gingpromisa ng Dios bago pa gingtuga ang kalibutan, kay ang Dios wayà nagapinusong.
Titus	1	3	Kag sa tamà nga tyempo, iya gingpasayod ang Maayong Balità* nga gingsalig sa akon, tapos ginawali ko sa mga tawo. Gingpilì ako para magwali sunò sa sugò ng Dios nga aton Manluluwas.
Titus	1	4	Nagapangamusta ako sa imo, Tito, ikaw nga akon ungà kay nagatuo ka da pareho sa akon. Kabay pa nga mabaton mo ang grasya* kag ang katawhayan* halin sa Dios nga Amay kag kay Kristo* Hesus nga aton Manluluwas.
Titus	1	5	Ang rason kung basì gingbilin ko ikaw dirà sa Crete, agud ang mga butang nga wayà pa matapos hay dapat imo ayuson. Kahinangyan magbutang ka ning mga miyugdumaya sa kada lugar nga may mga nagatuo, pareho ng akon mga gingsugò sa imo.
Titus	1	6	Ang imo pilion dapat wayà ning kapintasan nga makità, kag isa lang ang asawa. Ang iya mga ungà hay nagatuo sa Dios, bukon matugas ang uyo kag wayà nagapinabuang sa inda ginahuman.
Titus	1	7	Kahinangyan ang miyugdumaya ng mga nagatuo hay wayà kapintasan kay gingsaligan siya ng Dios. Dapat bukon siya hambugon, mahangiton, manginginom, mapintas kag hakog sa kwarta,
Titus	1	8	kundì madiparahon siya sa mga bisita, mahilig sa maayo, nagakabuhì ning tamà, matarong, malimpyo ang pagkabuhì, kag antigo magpugong sa kaugalingon.
Titus	1	9	Kag kahinangyan ang miyugdumaya hay makusog ang pagtuo sa kamatuuran nga gingtudlò sa iya, agud puydi da niya mapakusog ang mga nagatuo paagi sa maayo nga pagpanudlò kag maipakità niya sa mga nagakontra nga salà ang inda gingtudlò.
Titus	1	10	Ginahambay ko ini sa imo kay madamò gid nga mga tawo ang nagakontra sa kamatuuran, nga nagatudlò ning wayà puyos kag miyugpangluko, lalò na ang nagasunod sa mga ritwal ng Judio.
Titus	1	11	Kahinangyan paparahon mo ini nga mga tawo sa pagpanudlò ning bukon tamà kay nasisirà ang pagtuo ng bilog nga mga panimayay. Ang gusto ninda hay mangwarta paagi sa pagdinayà.
