Book	Chapter	Verse	Text
Zephaniah	1	1	Esta es la palabra del Señor , que vino a Sofonías hijo de Cusí, hijo de Guedalías, hijo de Amarías, hijo de Ezequías, durante el reinado de Josías hijo de Amón, rey de Judá:
Zephaniah	1	2	«Arrasaré por completo cuanto hay sobre la faz de la tierra —afirma el Señor —.
Zephaniah	1	3	Arrasaré con hombres y animales, con las aves del cielo, con los peces del mar, con ídolos e impíos por igual. »Exterminaré al hombre de sobre la faz de la tierra —afirma el Señor —.
Zephaniah	1	4	»Extenderé mi mano contra Judá y contra todos los habitantes de Jerusalén. Exterminaré de este lugar todo rastro de Baal , y hasta el nombre de sus sacerdotes;
Zephaniah	1	5	a los que en las azoteas se postran en adoración ante las estrellas del cielo, a los que, postrados en adoración, juran lealtad al Señor , y al mismo tiempo a Moloc,
Zephaniah	1	6	a los que se apartan del Señor , y no lo buscan ni lo consultan.
Zephaniah	1	7	¡Silencio ante el Señor omnipotente, porque cercano está el día del Señor ; ha preparado el Señor un sacrificio y ha purificado a sus invitados!
Zephaniah	1	8	En el día del sacrificio del Señor castigaré a los funcionarios y oficiales del rey, y a cuantos se visten según modas extrañas.
Zephaniah	1	9	En aquel día castigaré a cuantos evitan pisar el umbral, a los que llenan de violencia y engaño la casa de sus dioses.
Zephaniah	1	10	»Aquel día se oirán gritos de auxilio, desde la puerta del Pescado, gemidos desde el Barrio Nuevo, y gran quebranto desde las colinas —afirma el Señor —.
Zephaniah	1	11	»¡Gemid, habitantes del Barrio del Mercado! Aniquilados serán todos los mercaderes, exterminados cuantos comercian con plata.
Zephaniah	1	12	En aquel tiempo registraré Jerusalén con lámparas para castigar a los que reposan tranquilos como vino en su sedimento, a los que piensan: “El Señor no va a hacer nada, ni para bien ni para mal”.
Zephaniah	1	13	En botín se convertirán sus riquezas, sus casas, en desolación: “Edificarán casas, pero no las habitarán; plantarán viñas, pero del vino no beberán”.
Zephaniah	1	14	»Ya se acerca el gran día del Señor ; a toda prisa se acerca. El estruendo del día del Señor será amargo, y aun el más valiente gritará.
Zephaniah	1	15	Día de ira será aquel día, día de acoso y angustia, día de devastación y ruina, día de tinieblas y penumbra, día de niebla y densos nubarrones,
Zephaniah	1	16	día de trompeta y grito de batalla contra las ciudades fortificadas, contra los altos bastiones.
Zephaniah	1	17	De tal manera acosaré a los hombres que andarán como ciegos, porque pecaron contra el Señor . Su sangre será derramada como polvo y sus entrañas, como estiércol.
Zephaniah	1	18	No los podrán librar ni su plata ni su oro en el día de la ira del Señor . En el fuego de su celo será toda la tierra consumida; en un instante reducirá a la nada a todos los habitantes de la tierra».
Zephaniah	2	1	Humíllate hasta el polvo, nación desvergonzada;
Zephaniah	2	2	hazlo antes que se cumpla lo que he determinado y ese día se desvanezca como la brizna, antes que caiga sobre ti la ira ardiente del Señor , antes que venga sobre ti el día de la ira del Señor .
Zephaniah	2	3	Buscad al Señor , todos los humildes de la tierra, los que habéis puesto en práctica sus normas. Buscad la justicia, buscad la humildad; tal vez encontraréis refugio en el día de la ira del Señor .
