Book	Chapter	Verse	Text
Zephaniah	1	1	Ang salita ng Panginoon na dumating kay Sefanias na anak ni Cushi, na anak ni Gedalias, na anak ni Amarias, na anak ni Hezekias, nang mga araw ni Josias na anak ni Amon, na hari ng Juda.
Zephaniah	1	2	“Aking lubos na lilipulin ang lahat ng bagay sa ibabaw ng lupa,” sabi ng Panginoon .
Zephaniah	1	3	“Aking pupuksain ang tao at ang hayop; lilipulin ko ang mga ibon sa himpapawid, at ang mga isda sa dagat, at ang katitisuran kasama ang masasama; aking aalisin ang sangkatauhan sa ibabaw ng lupa,” sabi ng Panginoon .
Zephaniah	1	4	“Aking iuunat ang aking kamay laban sa Juda, at laban sa lahat ng naninirahan sa Jerusalem; at aking aalisin mula sa lugar na ito ang nalabi ni Baal, at ang mga pangalan ng mga paring sumasamba sa diyus-diyosan kasama ang mga pari;
Zephaniah	1	5	yaong mga yumuyukod sa mga bubungan sa mga bagay na nasa kalangitan; sa mga yumuyukod at sumusumpa rin sa Panginoon at gayunma'y sumusumpa sa pangalan ni Malcam;
Zephaniah	1	6	at iyong mga tumalikod mula sa pagsunod sa Panginoon ; at ang mga hindi hinanap ang Panginoon , ni sumangguni man sa kanya.”
Zephaniah	1	7	Tumahimik ka sa harapan ng Panginoong Diyos ! Sapagkat ang araw ng Panginoon ay malapit na; sapagkat inihanda ng Panginoon ang isang handog, at itinalaga ang kanyang mga panauhin.
Zephaniah	1	8	At sa araw ng paghahandog sa Panginoon — “Aking parurusahan ang mga pinuno, at ang mga anak ng hari, at ang lahat na nagsusuot ng damit ng dayuhan.
Zephaniah	1	9	At sa araw na iyon ay aking parurusahan ang lahat ng lumulukso sa pasukan, na pinupuno ang bahay ng kanilang panginoon ng karahasan at pandaraya.”
Zephaniah	1	10	“At sa araw na iyon,” sabi ng Panginoon , “maririnig ang panaghoy mula sa Pintuang Isda, ang pananambitan mula sa Ikalawang Bahagi, ang isang malakas na lagapak mula sa mga burol.
Zephaniah	1	11	Managhoy kayo, kayong mga naninirahan sa Mortar! Sapagkat ang buong bayan ng Canaan ay nalansag; lahat ng nagtitimbang ng pilak ay inalis.
Zephaniah	1	12	At sa panahong iyon, ang Jerusalem ay sisiyasatin ko sa pamamagitan ng ilawan, at aking parurusahan ang mga tao na nagsisiupo sa kanilang mga latak, na nagsasabi sa kanilang puso, ‘Ang Panginoon ay hindi gagawa ng mabuti, ni gagawa man siya ng masama.’
Zephaniah	1	13	At ang kanilang kayamanan ay nanakawin, at ang kanilang mga bahay ay gigibain. Bagaman sila'y nagtatayo ng mga bahay, hindi nila titirahan ang mga iyon; bagaman sila'y nagtatanim ng ubasan, hindi sila iinom ng alak niyon.”
Zephaniah	1	14	Ang dakilang araw ng Panginoon ay malapit na, malapit na at napakabilis na dumarating, ang tinig ng araw ng Panginoon , ang makapangyarihang tao ay sumisigaw nang may kapaitan roon.
Zephaniah	1	15	Ang araw na iyon ay araw ng pagkapoot, araw ng kaguluhan at kahapisan, araw ng pagkawasak at pagkasira, araw ng kadiliman at kalumbayan, araw ng mga ulap at makapal na kadiliman,
Zephaniah	1	16	araw ng tunog ng tambuli at ng hudyat ng digmaan, laban sa mga lunsod na may muog, at laban sa mataas na kuta.
Zephaniah	1	17	At aking dadalhan ng kahapisan ang mga tao, upang sila'y lumakad na parang mga bulag, sapagkat sila'y nagkasala laban sa Panginoon ; at ang kanilang dugo ay ibubuhos na parang alabok, at ang kanilang laman ay parang dumi.
Zephaniah	1	18	Kahit ang kanilang pilak o ang kanilang ginto man ay hindi makakapagligtas sa kanila sa araw ng poot ng Panginoon . Sa apoy ng kanyang naninibughong poot ang buong lupa ay matutupok; sapagkat isang ganap at biglang paglipol ang kanyang gagawin, sa lahat ng naninirahan sa daigdig.
Zephaniah	2	1	Sama-sama kayong pumarito at magtipon, O bansang walang kahihiyan;
Zephaniah	2	2	bago ang utos ay lumabas, ang araw ay dadaang parang ipa, bago dumating sa inyo ang mabangis na galit ng Panginoon , bago dumating sa inyo ang araw ng poot ng Panginoon .
Zephaniah	2	3	Hanapin ninyo ang Panginoon , kayong lahat na mapagpakumbaba sa lupain, na sumusunod sa kanyang mga utos; hanapin ninyo ang katuwiran, hanapin ninyo ang kapakumbabaan, maaaring kayo'y maitago sa araw ng poot ng Panginoon .
Zephaniah	2	4	Sapagkat ang Gaza ay pababayaan, at ang Ascalon ay magigiba; palalayasin ang mamamayan ng Asdod sa katanghaliang-tapat, at ang Ekron ay mabubunot.
Zephaniah	2	5	Kahabag-habag ang mga naninirahan sa baybayin ng dagat, ikaw na bansa ng mga Kereteo! Ang salita ng Panginoon ay laban sa iyo, O Canaan, lupain ng mga Filisteo; aking wawasakin ka, hanggang maubos ang lahat ng mamamayan.
Zephaniah	2	6	At ikaw, O baybayin ng dagat ay magiging pastulan, kaparangan para sa mga pastol, at mga kulungan para sa mga kawan.
Zephaniah	2	7	At ang baybayin ay magiging pag-aari ng nalabi sa sambahayan ni Juda; na iyon ay kanilang pagpapastulan, at sa mga bahay sa Ascalon ay mahihiga sila sa gabi. Sapagkat dadalawin sila ng Panginoon nilang Diyos, at ibabalik mula sa kanilang pagkabihag.
Zephaniah	2	8	“Aking narinig ang panunuya ng Moab, at ang panglalait ng mga anak ni Ammon, kung paanong tinuya nila ang aking bayan, at nagmalaki sila laban sa kanilang nasasakupan.
Zephaniah	2	9	Kaya't habang buháy ako,” sabi ng Panginoon ng mga hukbo, ng Diyos ng Israel, “ang Moab ay magiging parang Sodoma, at ang mga anak ni Ammon ay parang Gomorra, isang lupaing pag-aari ng mga dawag at tambakan ng asin, at isang pagkasira magpakailanman. Sila'y sasamsaman ng nalabi sa aking bayan, at sila'y aangkinin ng nalabi sa aking bansa.”
Zephaniah	2	10	Ito ang kanilang magiging kapalaran kapalit ng kanilang pagmamataas, sapagkat sila'y nanlibak at nagmalaki laban sa bayan ng Panginoon ng mga hukbo.
Zephaniah	2	11	Ang Panginoon ay magiging kakilakilabot laban sa kanila; oo, kanyang gugutumin ang lahat ng diyos sa lupa; at sa kanya ay yuyukod, bawat isa sa kanya-kanyang dako, ang lahat ng pulo ng mga bansa.
Zephaniah	2	12	Kayo rin, O mga taga-Etiopia, kayo'y papatayin sa pamamagitan ng aking tabak.
Zephaniah	2	13	At kanyang iuunat ang kanyang kamay laban sa hilaga, at gigibain ang Asiria, at ang Ninive ay sisirain, at tutuyuing gaya ng ilang.
Zephaniah	2	14	At ang mga bakahan ay hihiga sa gitna niyon, lahat ng hayop ng mga bansa, ang pelikano at gayundin ang kuwago ay maninirahan sa kanyang mga kabisera, ang kanilang tinig ay huhuni sa bintana, ang kasiraan ay darating sa mga pasukan; sapagkat ang kanyang mga yaring kahoy na sedro ay masisira.
Zephaniah	2	15	Ito ang masayang bayan na naninirahang tiwasay, na nagsasabi sa sarili, “Ako nga, at walang iba liban sa akin.” Siya'y naging wasak, naging dakong higaan para sa mababangis na hayop! Bawat dumaraan sa kanya ay sumusutsot at ikinukumpas ang kanyang kamay.
Zephaniah	3	1	Kahabag-habag siya na marumi, nadungisan at mapang-aping lunsod!
Zephaniah	3	2	Siya'y hindi nakinig sa tinig ninuman; siya'y hindi tumanggap ng pagtutuwid. Siya'y hindi nagtiwala sa Panginoon ; siya'y hindi lumapit sa kanyang Diyos.
Zephaniah	3	3	Ang mga pinunong kasama niya ay mga leong umuungal; ang mga hukom niya ay mga asong ligaw sa gabi; sila'y walang inilalabi hanggang sa kinaumagahan.
Zephaniah	3	4	Ang kanyang mga propeta ay walang kabuluhan at mga taksil; nilapastangan ng kanyang mga pari ang bagay na banal, sila'y nagsigawa ng karahasan sa kautusan.
Zephaniah	3	5	Ang Panginoon sa gitna niya ay matuwid; siya'y hindi gumagawa ng mali; tuwing umaga'y kanyang ipinapakita ang kanyang katarungan, siya'y hindi nagkukulang bawat madaling-araw; ngunit walang kahihiyan ang di-matuwid.
Zephaniah	3	6	“Ako'y nag-alis ng mga bansa; ang kanilang mga kuta ay sira. Aking winasak ang kanilang mga lansangan, na anupa't walang dumaraan sa mga iyon; ang kanilang mga lunsod ay giba, kaya't walang tao, walang naninirahan.
Zephaniah	3	7	Aking sinabi, ‘Tiyak na ikaw ay matatakot sa akin, siya'y tatanggap ng pagtutuwid; sa gayo'y ang kanyang tahanan ay hindi mahihiwalay ayon sa aking itinakda sa kanya.’ Ngunit sila'y lalong naging masigasig na pasamain ang lahat nilang mga gawa.”
Zephaniah	3	8	“Kaya't hintayin ninyo ako,” sabi ng Panginoon , “sa araw na ako'y bumangon bilang saksi. Sapagkat ang aking pasiya ay tipunin ang mga bansa, upang aking matipon ang mga kaharian, upang maibuhos ko sa kanila ang aking galit, lahat ng init ng aking galit; sapagkat ang buong lupa ay tutupukin, ng apoy ng aking naninibughong poot.
