Book	Chapter	Verse	Text
Titus	1	1	In sulat ini naug dayn kākuꞌ, hi Paul, hambuuk īpun sin Tuhan lāgiꞌ kiyawakilan hi Īsa Almasi. In aku ini napīꞌ kiyawakilan hi Panghuꞌ Īsa Almasi, tumabang magpasūng sin īman sin manga mānusiyaꞌ napīꞌ sin Tuhan sukuꞌ niya, ha supaya nila kaingatan in hinduꞌ kasabunnalan, amu in dumā kanila magad ha kabayaan sin Tuhan.
Titus	1	2	In hinduꞌ kasabunnalan ini, amu in puun sabab hangkan kitaniyu manghuwat-huwat sin kabuhiꞌ salama-lama, amu in kiyajanjiꞌ sin Tuhan kātuꞌniyu ha walaꞌ pa napaawn in dunya ini. Na, in Tuhan diꞌ magputing.
Titus	1	3	Pagꞌabut sin waktu giyagantaꞌ niya, piyanaug niya na in Baytaꞌ Marayaw magpaingat pasal sin janjiꞌ niya ini. Na, manjari aku in kiyapangandulan magpamahalayak sin baytaꞌ ini dayn ha daakan sin Tuhan, amu in manglalappas kātuꞌniyu.
Titus	1	4	Manjari, in sulat ini hipasampay mari kan Titus. In ikaw biyaꞌ na tuud sin anak ku luggiyaꞌ, karnaꞌ aku in nakarā kaymu nagparachaya ha Almasi. Sibuꞌ tuud in piyagparachayahan iban piyangandulan ta. Mura-murahan bang mayan kaw dihilan tulung-tabang iban kasannyangan sin lawm atay kaagi sin Tuhan, Amaꞌ natuꞌ, iban hi Īsa Almasi, amu in manglalappas kātuꞌniyu.
Titus	1	5	Na, in sabab hangkan ta kaw binīn ha pūꞌ Kiriti, ha supaya mu maparayaw in unu-unu na, amu in walaꞌ pa nahinang, iban ha supaya kaw makapagpīꞌ sin manga tau hinangun magtau-maas ha manga tau agad kan Īsa ha manga kakawm-kawman. Tumtuma in hinduꞌ ku kaymu ha pasal sin pagpīꞌ sin manga tau-maas.
Titus	1	6	In tau pīun mu magtau-maas, subay amu in tau wayruun kabaakan ngīꞌ kaniya, iban hambuuk da in asawa niya. In manga anak niya subay nagpaparachaya kan Īsa, iban walaꞌ kiyababaytaꞌ bulaug atawa diꞌ magkahagad ha hinduꞌ.
Titus	1	7	Karnaꞌ pagga in tau mapīꞌ magnakuraꞌ, amuna in papagnakuraun sin Tuhan ha manga tau sukuꞌ sin Almasi, na in tau yan subay wayruun kabaakan ngīꞌ kaniya. Subay siya bukun mataas magdā sin baran niya iban bukun mapasuꞌ in pagꞌatay. Lāgiꞌ subay siya bukun maghihilu, bukun mamiminasa, iban subay siya bukun manapsu ha pilak.
Titus	1	8	Subay siya maasip iban maparuli ha manga tau makakawn pa bāy niya, iban subay siya hambuuk tau, amu in mabayaꞌ sadja huminang sin hikarayaw ha kaibanan niya. Subay mahantap in pamikil niya, iban subay siya mabuntul. Subay siya makasulut ha Tuhan, iban subay siya maingat humawid sin hawa-napsu niya.
Titus	1	9	Subay niya gunggungan in hinduꞌ, amu in kapangandulan in kasabunnalan niya, iban magkugdan iban sin hinduꞌ bakas na kiyahinduꞌ, ha supaya marā niya in manga tau mangandul ha hinduꞌ kasabunnalan, iban kabaytaan niya in kasāan sin manga tau kimukuntara sin hinduꞌ yan.
Titus	1	10	Karnaꞌ mataud tau in diꞌ magkahagad sin hinduꞌ kasabunnalan, labi awla na in manga tau bakas agad ha agama Yahudi, amu in imiyan subay agarun in addat pasal pagꞌislam. Na, in manga sila yan mangdupang sadja, sabab manghinduꞌ sila sin way kapūsan.
Titus	1	11	Na, subay tuud pahundungun in simud sin manga tau magbibichara biyaꞌ ha yan, sabab awn na manga tau narā nila pa kalawngan. Sampay sin manga anak-asawa iban sin lahasiyaꞌ sin manga tau ini nalapay da isab narā pa kalawngan. In sila yan manghinduꞌ sin bukun mapatut hipanghinduꞌ, sabab sīn in piyupuhung nila.
Titus	1	12	Awn hambuuk tau talus hangka-bangsa nila, bangsa Kiriti, in nakabichara ha pasal sin manga pagkahi niya. Laung niya, “In bangsa Kiriti ini amuna in bangsa asal putingan, jīlakaꞌ, dahal, iban lisuan.”
Titus	1	13	Na, in bichara sin tau yan bunnal. Hangkan in manga tau Kiriti yan, subay mu tuud pagꞌamahan, tudluan sin ngīꞌ addat nila, ha supaya dumayaw in pagparachaya nila ha hinduꞌ sabunnal tuud,
Titus	1	14	iban ha supaya sila diꞌ na mayan kumahagad sin manga suysuy bukun bunnal piyanghinduꞌ sin manga Yahudi, iban bat sila diꞌ na magad sin manga daakan naug dayn ha manga tau simulak sin hinduꞌ kasabunnalan.
Titus	1	15	In unu-unu katān dī ha dunya maitung halal sin manga tau suchi in lawm atay nila, sumagawaꞌ in manga tau bukun suchi in lawm atay nila, iban diꞌ magkahagad sin hinduꞌ kasabunnalan, wayruun unu-unu in maitung nila halal, sabab sammal in lawm pamikil nila iban diꞌ nila kaingatan silangun in mangīꞌ dayn ha marayaw.
Titus	1	16	Laung sin manga tau yan, in sila miyamagad tuud ha Tuhan, sagawaꞌ in hinang nila diꞌ magꞌagad iban sin bichara nila yan. Makabunsi tuud in manga hinang nila. Simusulang sadja sila sin hinduꞌ kasabunnalan dayn ha Tuhan, hangkan way dapat nila huminang sin unu-unu marayaw.
Titus	2	1	Sumagawaꞌ in ikaw, subay in hipanghinduꞌ mu magꞌagad iban sin hinduꞌ mabuntul, amu in hikarayaw ha manga tau.
Titus	2	2	Hindui in manga maas usug sin subay nila tangkaan in manga napsu makakangīꞌ kanila. Subay in addat nila addat tau maas, amu in maingat pagꞌaddatan sin manga tau, iban subay mahantap in pamikil nila. Subay mahugut tuud in pagparachaya nila ha Almasi, iban subay sila malasa ha pagkahi nila mānusiyaꞌ iban subay sila masabal iban mahugut in īman nila, minsan unu-unu na in kabinsanaan kumugdan kanila.
Titus	2	3	Subay biyaꞌ da isab ha yan in pamanduꞌ mu ha manga maas babai. In addat nila subay matūp ha babai amu in makasulut pa Tuhan. Pandui sila sin subay diꞌ manglimut ha tau. Subay sila bukun magꞌiinum sin makahilu. Subay sila magpiil sin marayaw amu in mahinang suntuan marayaw,
Titus	2	4	ha supaya in manga babai bataꞌ-baꞌgu makasingud kanila bang biyaꞌ diin in pagkasi-lasa ha bana iban manga anak nila.
Titus	2	5	Iban bat sila kahinduan sin subay mahantap in pamikil nila, iban subay wayruun ngīꞌ sin kawl-piil iban pamikil nila. Subay sila maupiksaꞌ tuud sin manga hinang ha lawm bāy, iban subay sila magpatibabaꞌ iban magkahagad ha manga bana nila. Na, bang nila maagad in manga hinduꞌ yan, na wayruun na mabichara pa mangīꞌ sin manga tau pasal sin panghinduꞌ natuꞌ, amu in baytaꞌ naug dayn ha Tuhan.
Titus	2	6	Damikkiyan tuyuꞌ kaw manghinduꞌ ha manga usug bataꞌ-baꞌgu magpahantap sin pamikil nila.
Titus	2	7	Manjari, in ikaw parayawa tuud in addat mu iban sin hinang mu katān, ha supaya kaw mahinang suntuan pa marayaw sin manga panāiban mu. Bang kaw maghinduꞌ subay tuud ihilas sin atay mu, ha way puhungun mu unu-unu, iban subay matuyuꞌ iban matutug in pikilan mu manghinduꞌ.
Titus	2	8	Unu-unu na in hihinduꞌ mu, subay mabuntul ha diꞌ masaway sin tau kaibanan, ha supaya sumipug in manga tau simasaggaꞌ kātuꞌ, sabab way kabaakan nila mangīꞌ hikabichara kātuꞌ.
Titus	2	9	Hindui in manga īpun agad kan Īsa sin subay sila magkahagad tuud ha manga tagꞌīpun kanila, iban huminang sin unu-unu makasulut ha tagꞌīpun kanila. Subay sila diꞌ sumambung sumaggaꞌ sin kabayaan sin tagꞌīpun kanila.
Titus	2	10	Iban subay sila diꞌ manakaw sin unu-unu sin tagꞌīpun kanila, sumagawaꞌ subay nila piyakikitaꞌ sadja dayn ha hinang nila marayaw sin in sila mabuntul iban kapangandulan tuud. Na bang biyaꞌ ha yan in addat sin manga īpun, in unu-unu katān hinang nila makarihil kalagguan ha panghinduꞌ pasal sin Tuhan manglalappas kātuꞌniyu.
Titus	2	11	Na, hangkan aku nanghinduꞌ biyaꞌ ha yan sabab bihaun napanyataꞌ na tuud in kasi-lasa sin Tuhan, ha supaya malappas in mānusiyaꞌ katān dayn ha murkaꞌ sin Tuhan.
Titus	2	12	Sakali in kasi-lasa sin Tuhan, amu in manghinduꞌ kātuꞌniyu mamutawan dayn ha manga hinang mangīꞌ pa Tuhan iban sin hawa-napsu magdunya sadja. Lāgiꞌ hinduan kitaniyu magpahantap sin pamikil taniyu, magpabuntul sin addat-tabīat taniyu, iban manghinduꞌ kātuꞌniyu maghinang sin unu-unu makasulut ha Tuhan, ha salugay taniyu dī ha dunya
Titus	2	13	nagtatagad sin hiyuhulat-hulat natuꞌ, amu in kakuyagan sin waktu pagpanyataꞌ mari kātuꞌniyu sin katān kawasa iban sahaya sin Tuhan sangat kawasa iban manglalappas kātuꞌniyu hi Īsa Almasi.
Titus	2	14	Līllaꞌ hi Īsa Almasi in duguꞌ-nyawa niya sabab-karnaꞌ taniyu, ha supaya kitaniyu makapuas dayn ha manga katān hinang mangīꞌ, iban ha supaya kitaniyu masuchi, matūp mahinang manga tau sukuꞌ niya sadja, iban mahinang manga tau matuyuꞌ tuud huminang sin marayaw.
Titus	2	15	Na subay bihayan in hihinduꞌ mu ha manga tau, Titus. Pakitaan tuud in katān kawasa mu bang kaw manghinduꞌ iban magpabuntul sin manga kasāan nila. Ayaw kaw magpasād babaꞌ-babaun sin hisiyu-siyu na tau.
Titus	3	1	Patumtuman ha manga tau agad kan Īsa duun ha yan sin subay sila magꞌaddat iban magkahagad ha parinta iban ha daakan sin manga tau kaput saraꞌ. Iban subay sila sakap sadja huminang sin unu-unu marayaw.
Titus	3	2	Hindui sila sin subay sila diꞌ magbichara sin unu-unu hikakangīꞌ ha hisiyu-siyu na tau. Gām mayan subay sila mapamagayun iban bukun pangangalu. Lāgiꞌ subay sila mahanunut, diꞌ magbungis ha katān tau.
Titus	3	3	Sabab in kitaniyu Almasihin sukuꞌ sin Almasi, subay mapinda na in addat-palangay taniyu. In tagnaꞌ yadtu, in kitaniyu way pikilan iban diꞌ magkakahagad ha unu-unu saraꞌ iban daakan. In pikilan taniyu harap sadja pa kasāan. Iyaagad iban diyurūlan natuꞌ tuud in katān ginisan hawa-napsu iban kabayaan natuꞌ. Lāgiꞌ dayn katagnaꞌ asal kitaniyu mangīꞌ iban maiggil. Mabunsi kitaniyu ha pagkahi natuꞌ. Damikkiyan in pagkahi taniyu mabunsi da isab kātuꞌniyu.
Titus	3	4	Sumagawaꞌ piyanyataꞌ mayan sin Tuhan manglalappas kātuꞌniyu in kasi-lasa iban dayaw niya ha mānusiyaꞌ,
Titus	3	5	in kitaniyu liyappas niya dayn ha kamulahan. Liyappas niya kitaniyu, bukun sabab awn nahinang natuꞌ marayaw, sagawaꞌ dayn ha pasal sin luuy niya kātuꞌniyu. Hangkan piyatulunan niya kitaniyu sin Rū sin Tuhan, amu in manuchi sin lawm pikilan iban atay taniyu, lāgiꞌ maminda sin asal addat-palangay taniyu. In kitaniyu mabiyaꞌ hantang baꞌgu piyagꞌanak.
Titus	3	6	Dayn ha pasal sin manga nahinang hi Īsa Almasi amu in manglalappas kātuꞌniyu, na labi-manglabi in karayawan makawaꞌ natuꞌ dayn ha Rū sin Tuhan piyatulun sin Tuhan kātuꞌniyu.
Titus	3	7	Hangkan kitaniyu piyatulunan Rū sin Tuhan ha supaya dayn ha sabab sin lasa sin Tuhan, in kitaniyu itungun na sin Tuhan mabuntul, biyaꞌ sin walaꞌ nakarusa iban kapusakaan na kitaniyu sin kabuhiꞌ salama-lama, amu in asal hiyuhuwat-huwat natuꞌ.
Titus	3	8	Na in katān kiyabichara ku yan, bunnal. Na, in kabayaan ku tuyuan mu tuud hihinduꞌ in manga parakalaꞌ kiyabichara ku yan, ha supaya in manga tau nagpaparachaya ha Tuhan makapikil sadja magparuli huminang sin unu-unu marayaw. In manga parakalaꞌ yan bukun sadja hāt marayaw, sagawaꞌ hikatabang da isab ha manga tau kaibanan.
Titus	3	9	Sumagawaꞌ ayaw kaw lumamud magjawab pasal sin manga karupangan iban magꞌusul sin manga kangān-ngānan sin manga kamaasan. Ayaw kaw lumamud maglugat iban magkālu pasal sin saraꞌ agama binīn hi Nabi Musa, sabab in manga lugat yan way da kapūsan iban way kapunyahan.
Titus	3	10	Na, in tau amu in makatagnaꞌ sin paglugat iban pagkalu, subay mu lāngun iban hinduan. Bang diꞌ magkahagad lāngi magbalik. Na, bang isaban niya da in hinang niya, na ayaw na kaw magparuli kaniya.
Titus	3	11	Na, kaingatan mu da isab sin in tau biyaꞌ ha yan bingkuk in atay iban pikilan niya. In manga hinang niya mangīꞌ, amuna in magpakitaꞌ sin in siya nagdusa.
Titus	3	12	Manjari Titus, bang dumatung na mawn hi Altimas atawa hi Tikikus, hisiyu-siyu na in hikaparā ku mawn ha duwangka-tau ini, tuyuꞌ kaw kadtu pa dāira Nikupulis bat kitaniyu magbāk duun, karnaꞌ napikil ku humantiꞌ duun ha salugay timpu mahaggut pa in hulaꞌ.
Titus	3	13	Tabangi tuud hi Apullus iban hi Sinas, amu in abugaw bang sila tumulak na dayn duun kaniyu, iban paruliha tuud in katān kagunahan nila.
Titus	3	14	Hindui in manga panāiban taniyu agad ha Almasi sin subay sila isab magparuli tuud maghinang marayaw iban magꞌusaha, bat supaya awn kabuhianan nila, iban makatabang sin kagunahan sin kaibanan. Na, bang nila yan diꞌ hinangun, na wayruun kapunyahan nila.
