Book	Chapter	Verse	Text
Zephaniah	1	1	Amo ini an mensahe nga ginhatag han Ginoo kan Sofonias dida han panahon nga hadi han Juda hi Josias nga anak ni Amon. (Tulin hi Sofonias ni Hadi Ezequias pinaagi kanda Amarias, Gedalias, ug Cusi.)
Zephaniah	1	2	Nagsiring an Ginoo , “Pagbubungkagon ko an ngatanan nga mga butang ha tuna,
Zephaniah	1	3	an ngatanan nga katawhan ug kamanampan, ngan katamsihan ug kaisdaan. Pupukanon ko an mga magraot. Pupuohon ko an ngatanan nga mga tawo, ngan waray gud mahisasalin nga buhi. Ako nga Ginoo an nagyakan.
Zephaniah	1	4	“Kakastigohon ko an mga tawo han Jerusalem ngan han bug-os nga Juda. Paparaon ko an kataposan nga tigaman hin pagsingba kan Baal didto, ngan waray na gud ngani manunumdom han pagano nga kapadian nga nag-aalagad ha iya.
Zephaniah	1	5	Pupuohon ko an bisan hin-o nga nasaka han atop ngan nagsisingba han adlaw, han bulan, ngan han mga bitoon. Pupuohon ko liwat adton mga nagsisingba ha akon ngan nagsusumpa han ira kamaunongon ha akon, kundi nagsusumpa liwat ha ngaran han diyos nga hi Milcom.
Zephaniah	1	6	Pupuohon ko adton mga binmulag nga waray na magsunod ha akon, adton mga diri nadangop ha akon o diri napapagtutdo ha akon.”
Zephaniah	1	7	Hirani na an adlaw nga maghuhukom na an Ginoo ; sanglit paghilom kamo ha iya atubangan. Nag-aandam na an Ginoo hin paghalad han iya mga tawo ngan nagdapit na hin mga kaaway hin panikas han Juda.
Zephaniah	1	8	Nasiring an Ginoo , “Dida hito nga adlaw hin pangihaw, kakastigohon ko an mga opisyal, an mga anak nga kalalaken-an han hadi, ngan an ngatanan nga nanggagawi hin langyaw nga mga pamatasan.
Zephaniah	1	9	Kakastigohon ko an ngatanan nga nagsisingba sugad hin mga pagano ngan nangangawat ngan namamatay basi pagpun-on hin mga kinawat an balay han ira agaron.
Zephaniah	1	10	“Dida hito nga adlaw,” nasiring an Ginoo , “hibabatian niyo in panangis dida han ganghaan han Jerusalem nga ginngaranan nga Ganghaan han Isda. Hibabatian niyo in pagnguyngoy didto han barobag-o pa nga bahin han syudad ngan hin dako nga aringasa hin pagkarumpag didto han kapungtoran.
Zephaniah	1	11	Pagnguyngoy ngan pagtangis kon hibatian niyo ini, kamo nga nag-uokoy didto han uruubos nga bahin han syudad, kay magkakamatay na an ngatanan nga mga magparatigayon!
Zephaniah	1	12	“Dida hito nga panahon makuha ako hin suga ngan uusisahon ko an Jerusalem. Kakastigohon ko an mga tawo nga himyang ngan natapod ha ira kalugaringon, nga nasiring ha ira la ngahaw, ‘Waray an Ginoo magbubuhat hin maupay o maraot.’
Zephaniah	1	13	Paninikason an ira mga manggad ngan panrurub-on an ira mga balay. Diri gud hira mag-uokoy dida han kabablayan nga ira gintitindog o mainom han bino nga abot han mga urubasan.”
