Book	Chapter	Verse	Text
Titus	1	1	Yaken rana am si Pawlo ko a lamlamsoy na ni Ama ta do to a nipamnekan ni Yeso Kizisto a omlivolivon no ciriciring na. O na nipamnekan jyaken am yana tovoin yaken a mapait so onowned da no nipamnekan na tao ni Ama ta do to a omanoyong ji Yeso. So palolwan ko sira a kapakateneng da rana do nanao na no yatamo iraralay.
Titus	1	2	O peypeypangayan na rana no nanao eya am ipakahap ta so to meyyonong a ikavyay no pahad ta. Manoyong o nipanci na a itoro na jyaten no kaji na pa mangamaogan so karawan. Ta si Ama ta do to rana am abo kalalasan na.
Titus	1	3	So peylimwangan no akman sang sicyaikwaya. Ori ko pangozayan do ngaran na ni Ama ta do to a nitomovoy jyaken a yameylimwang no akman sang a nanao na. Ta iya rana am mapatazadang jyaten do teyngato.
Titus	1	4	Ko ipeyteygami imo, mo Tito. Imo rana do ta raralayan ni Ama ta do to am ka manoyong a akma koy anak. Inaoy no si itoro na jimo ni Ama ta do to a kani Yeso Kizisto o pangangarilawan na kano ikapiya no onowned mo. Ta si Yeso Kizisto rana am mapatazadang jyaten do teyngato.
Titus	1	5	Nivezed ko imo do Kedite a pongso no kakwa, ta pakavosen mo pa o ji ta pa nipakavos a vazay a kapamnek mo pa do peycyeylilyan na so tomalamozong no kyokay a tao, akman so mina ciring ko jimo no kakwa pa.
Titus	1	6	O tomalamozong rana no kyokay am abwata o karatan na. Asa o kahanghangan na. O ananak na am mamimin sira omanoyong ji Yeso. Abwata o iraherahet da sira no tao a kamizing da so ciring no inyapwan da.
Titus	1	7	Ta o manoyong a yamahap so vazay na ni Ama ta do to a yatomalamozong no kyokay am abo o karatan na. Ta iya rana am ji mapahama so nakem. Jyaoyaoyahen. Ji mapeyvazay so keyyop so saki. Ji mamakbak so tao. Ji mangamkam so nizpi no icyatatao na.
Titus	1	8	Isaray na o kapanaotao na so tao. Isaray na o kapanidong na so tao. Apzatan na o onowned na, kapiya na no icicirawat na. Akmey mazngang o onowned na a ji nala so nakenakem.
Titus	1	9	Pangozayan na o manoyong a nanao a apo ji Ama ta do to. Ta ori o ipakananao na so amraralay ni Yeso a tao a kano mangalalas a ji manganwanoyong a tao.
Titus	1	10	Ta yaro o tao a yaji manganoyong a yamapeyzavozavoz so ciring da a omalalas do manoyong a nanao. Da ipanci o beken a tao do Yotay a amyongkad do kataotao.
Titus	1	11	Ji mo mamyapyan sira o akman sang a tao a meyzezyak an. Ta sira rana am da naknakmen o da kapangamkam so nizpi do icyatatao da. So na ikaro rana no tao do peykavakavahayan na nipeykaraherahet no malas a nanao da.
Titus	1	12	Amyan so nipanci no asa ka meynakem a tao do Kedite no kakwa. Maniring ori am, “Sira mamimin o tao do Kedite a yamangalalas. So da ikatey manginanawa. Yatey malma sira. Da kakan so yada naknakmen.”
Titus	1	13	Yabwata o kalalasan na no ciring na. Am ori o ji mo anigi nira ioya. Ta ori o ikanoyong no nakenakem da ji Ama ta do to,
Titus	1	14	a kaji da nganoyngan do yamalas a kavavatanen da no tao do Yotay a kano yokoyokod da no ji nganoyong do nanao na ni Ama ta do to.
Titus	1	15	Ta o ji meypinarek so onowned a tao am abo marahet jira kanekanen da. Am o meyraraten a ji manaralay a tao am abwata o asa ka vazay da apya, mangay do nakenakem da kano onowned da ji macipayok.
Titus	1	16	O akman rana sang a tao am o ciriciring da am akmey macyanoyong ji Ama ta do to. Am o aktokto da am ori o omalalas jya. So ikanoyong da pacioyyan na ni Ama ta do to, do kaji da ngahapan so nanao na. So ikabwata no apya vazay a peyvazain da.
Titus	2	1	Am imo rana am ji mo palasa o ipanvavaga mo so amraralay ni Yeso a tao an. Ta to mo mangozai o manoyong a nanao na ni Ama ta do to.
Titus	2	2	Vavagan mo sira o rarakeh a mahakay, ta apzatan da o onowned da an. Ji da pasala o nakenakem da ji Ama ta do to an. Ji sira hayo so nakenakem ji Ama ta do to. Ta naknakmen da o pangarilawan da so icyatatao da a kato da peykabobwan so alalaw da.
Titus	2	3	Vavagan mo sira o rarakeh a mavakes a kapiya da so nakenakem. Ji sira manamwad. Ji da macikeyyani o saki. Ta naknakmen da o kapeycitacita da jira no malalavayo a mavavakes.
Titus	2	4	Nanawen da sira o malalavayo a mavavakes a marilaw no kahanghangan da kano ananak da.
Titus	2	5	Apzatan da o kataotao da a kateneng da meyvazay do kavavahay da apya so nakenakem a ji mapasobna do kahanghangan da. Ta ori o ji da rehrehci sya no tao so nanao na ni Ama ta do to.
Titus	2	6	Akman sang, ta vavagan mo sira o malalavayo a mahakay a amzat do kataotao da.
Titus	2	7	Imo rana am tana makakaday o vazay mo am ji ka rahet so icicirawat an. Ta manakem mo o kapeycitacita da jimo no tao. Makapiya ka so nakenakem a omnanao sira an.
Titus	2	8	Ji mo palasa o ciring mo. Ta ori o ji da namwaji jimo no tao. No si makman ka sang am ji sira todasnek rana o macioya jyaten a tao a ji makakala so karatan ta, do kabo no kalalasan ta.
Titus	2	9	Nanawen mo sira o peylamlamsoin da tao, kownot da do ciriciring no peyvazayan da tao. Ji sira mapatongtonggalan, ta kowyat da meyvazay a ipasaray da so lawpan da.
Titus	2	10	Ji sira manakaw, ta ori o peyhanhanan da nira no mapeyvazay sira mahap so vazay na. No akman sang o makakaday a vazay a apiya am jyabo kaji da azwazwayan so nanao na ni Ama ta do to a mapatazadang jyaten do teyngato a.
Titus	2	11	Peyvazain ta o yamakakaday ang. Ta yarana mapengkad o pangangarilawan na ni Ama ta do to a mapatazadang jyaten a tao do karawan.
Titus	2	12	O akman sang a pangangarilawan na ni Ama ta do to am ori o ipakateneng ta do kakaro ta do raten na ni Ama ta do to a vazay ta kano meykamadadayan a ikakza ta do karawan. So ipakateneng ta do kapzat ta do onowned ta a mapeypahagnat so nakenakem ta ji Ama ta do to.
Titus	2	13	So ikanoyong ta mapananala so ipeygegcin na no Tao do to ta si Yeso Kizisto a kapacizanod ta somaray do azwazway na. Ta iya o mapatazadang jyaten do teyngato.
Titus	2	14	Na nipalit ni Yeso Kizisto no kataotao na o raraten ta. So ikaro ta rana do makakaday a ta pineyraratenan. So icyakma tamoy matnaw a ranom so onowned a omanod jya, mowyat a meyvazay so apya vazay.
Titus	2	15	Nanawen mo sira no yamakakaday a vazay. No myan so ivavaga mo jira kano oyaoyyan mo nira am manakem mo o yada kownot jimo a yamizngen so ciring. Ta ji mo akwan o kalavayo mo.
Titus	3	1	Pazimanen mo jira o kownot da do vazay no makayokod nira tao. Amizngen da o pipya vazay a ipanci da.
Titus	3	2	Vavagan mo sira ji manamwad so icyatatao da, kaji da macivaivaitan. Manganyanig sira so tao. Ji sira mapahama so nakem do icyatatao da.
Titus	3	3	Yaten rana no kakwa pa am abwata o katatenngan ta a ji mangamizing a akmey mavozaw pa so aktokto a to mangozangozay do onowned ta a makza no meycyamadadayan do karawan. So ikanoyong ta amyan pa do peyraratenan ta kano panginanehtan ta kano pasikaokaoyyan ta.
Titus	3	4	O ipakateneng ta do pangangarilawan na kano pangangasyan na ni Ama ta do to am
Titus	3	5	na patazadangen yaten do teyngato, do na karilaw nyaten. So ikabeken na omaing do apya icicirawat ta. O Seyzi na ni Ama ta do to am ori o nikaro ta do raraten ta. So icyakma tey nimalikey a avayo rana so aktokto. So iyan na rana jyaten no to meyyonong a ikavyay no pahad ta.
Titus	3	6	Si Yeso Kizisto am nimawakwak no raraten ta. Am ori o ji na ingbeywani do Seyzi a itoro na jyaten ni Ama ta do to.
Titus	3	7	O pangangarilawan na ni Ama ta do to am ori o ikapya ta na so nakenakem jya, ta abwata rana o raraten ta do tangain na. So ikanoyong ta mapananala so kapakahap ta rana so to meyyonong a ikavyay no pahad ta.
Titus	3	8	So ikabo no kalalasan no ciriciring eya. Pakanakmen mo a ipanci jira oya an, a kowyat da no amraralay ni Ama ta do to a tao a meyvazay so apiya vazay. Ta o akman rana sya vazay am tey yapya a makasidong so tao.
Titus	3	9	Am ji mo pasngena o kapacinekanekad da a macivaivait no iwawalam na ni Moyse a kano katatapilan nyo. Ta o akman rana sang am abo o peypeypangayan no akman sang.
Titus	3	10	O yapwan no ipeygalagal a ipeyvwak da no sinjya a tao am ipidwa nyo sira pazimanen. No mirwa pa sira am to nyo na ngaroi sira.
Titus	3	11	Katenngan nyo an, ta o akman rana sang a tao am peymakarwan da o nanao na ni Ama ta do to. O yongkad no kalasan da am raraten da.
Titus	3	12	Ko naknakmen a tovoin si Atema no beken a si Ticiko a mangay jimo do dang. So ji mo meypahahai a mangay do Nikepodi a mapananala jyaken. Ta nipamnekan ko na o kato ko ngyanan do dang sicyamyan eya.
Titus	3	13	Sidongen mo o mapacicici a tao a meyngaran si Sena kani Apolo a yaomavat do da kapangilili. So ikabo no kahamangan da palolwen.
Titus	3	14	Ipanci mo do kakteh ta do cinai o kowyat da omhakakaw a amyaw no velek da a kasidong da so makasi a tao. Ji da nginara o to meyyowyaw a abwata so angangayan a tao.
Titus	3	15	Da ipeyminaminasi imo no kararay ko do jya. Ipanci mo do akma tey kakteh do cinai a yamanaralay ni Yeso, ta namen ipeyminaminasi sira. Inaoy no si itoro na ni Ama ta do to o pangangarilawan na jinyo.
Romans	1	1	Yaken rana am si Pawlo ko a lamlamsoy ni Yeso Kizisto. Na nipamnekan yaken ni Yeso Kizisto a amlivolivon no Mapasaray a Ciriciring na ni Ama ta do to.
Romans	1	2-3	O Mapasaray a Ciriciring na ni Ama ta do to am nipatwaw da no panoyonoywan na so ciring na do nivatvatkan da Seysyo no kakwa pa a omagaz do Anak na si Yeso Kizisto a Panirsirngen ta. No hapen do itetngehan ta do tao am iya o sivovoong na ni Tawey.
Romans	1	4	No hapen do ka Tao do to na am iya o nipeyvangon na ni Ama ta do to a nimapo do heseb na. So ikanoyong na Anak na ni Ama ta do to.
Romans	1	5	Am ori o ko pangozayan do ngaran na a yamahap so vazay na yamapanop so tao a yaomanoyong ji Yeso Kizisto do peycyamahamahatawan na,
Romans	1	6	a pacizanodan nyo a tao do Loma a yana nipamnekan ni Ama ta do to a italamozong na ni Yeso Kizisto.
Romans	1	7	Am ori o yako peyteygamyan ninyo a na tey karilaw ni Ama ta do to a tao do Loma a yamanoyong a na italamozong ni Ama ta do to. Inaoy si itoro na o pangangarilawan na kano ikapiya no onowned nyo ni Ama ta do to a kani Yeso Kizisto a Panirsirngen ta.
Romans	1	8	Ney manma na am ko isaray ji Ama ta do to si Yeso Kizisto, ta o nyo peyhanhanan nya am yada rana peyrengarengayan no tao do peycyamahamahatawan na.
Romans	1	9	Na katenngan ni Ama ta do to o ko kasangib a yameynozi ninyo, do yako ikowyat a yamahap so vazay na yameylimwang no Mapasaray a Ciriciring no Anak na.
Romans	1	10	Ko jimtad a yameynozi ji Ama ta do to do kapeypalanginan na nyaken. So yangay ko jinyo do dang.
Romans	1	11	Inaoy si macita ko inyo a kananao ko jinyo a kowyat nyo na meyhanhan ni Ama ta do to, do kasidong na jinyo no Seyzi.
Romans	1	12	Ala apyapya o kapanci ko no kapasipayyait ta so onowned ji Ama ta do to.
Romans	1	13	Yako masangib a yamnakenakem so yako kangay jinyo manga kakteh. Am na katey aro no yamzazat jyaken. Am ori o ko jyangai jinyo do dang. Ta ko ikakza inyo a nanawen a kapeyparo da no tao a omanoyong ji Yeso Kizisto do dang, akman so niomanod a beken a tao do Yotay no keyyan ko pa do ili da no beken a tao do Yotay.
Romans	1	14	Tana ko macizavoz do meykataretarek a tao am meyyangangay sira ori a yako sidongen no Ciriciring na ni Ama ta do to.
Romans	1	15	Am ori o ko ikakman sang a yamakza no kapeylimwang no Mapasaray a Ciriciring na ni Ama ta do to jinyo a yameyili do Loma a tao.
Romans	1	16	Ko ipeyhanhan o Mapasaray a Ciriciring na ni Ama ta do to. Ta ori rana am oyowyat na ni Ama ta do to a omahap so omanoyong jya tao do kapyapyan. Oya rana am manmanma a nipeylimwang do tao do Yotay a kapacitonton da no beken a tao do Yotay.
Romans	1	17	Ta o Mapasaray a Ciriciring na ni Ama ta do to o ipakateneng ta do kabnek na jyaten ni Ama ta do to a abo so raraten do tangain na. O yapwan na no nya am amyapo do kapeyhanhan ta nya. Ta maniring do Seysyo am, “O tao rana a abneken na ni Ama ta do to a abo so raraten do tangain na am mahap da o to meyyonong a ikavyay no pahad da.”
Romans	1	18	Nipaziman na rana ni Ama ta do to o rako a oyaoyyan na no meyraraten a tao a kano ji raralay nya tao. O raraten no tao am ori o yambonbon do yamanoyong a nanao na ni Ama ta do to.
Romans	1	19	Pasingsingtan na sira ni Ama ta do to, ta nipaziman na rana ni Ama ta do to o vazay na do tangain da. So da ipakateneng rana jya.
Romans	1	20	Yajyacita si Ama ta do to. Am nimakalapo no kamamaog na so karawan o kaji na ablisan no ka Tao do to na. Ta apo do nyamamaog na o ipakateneng jya Tao do to arako so oyowyat. So ikabo no tao a omalalas jya.
Romans	1	21	Am tana da katenngan si Ama ta do to am da ji raralayan, da ji narayan o aryarilaw na sira. So da icyakmey yamavota so onowned a yaji makateneng ji Ama ta do to.
Romans	1	22	Sira mapakateneteneng. Am jyakman sang, ta yabwata da katatenngan.
Romans	1	23	Da ji raralayan o yato meyyonong a Tao do to. Da iraralay o da nipariparing a yakmey taotao a kano meyyasasalap a kano omalalam a kano makakaday a nipariparing da.
Romans	1	24	Am ori o to na rana macyozai ni Ama ta do to do onowned da a mapeyvazay so macimasesnek a raraten da.
Romans	1	25	Da peymakarwan o manoyong a nanao na ni Ama ta do to a da kahap so malas a nanao amraralay no masaod no karawan a nyamamaog na ni Ama ta do to, a ji raralay no manoyong a Tao do to a nimangamamaog so makakaday. So ika si Ama ta do to na no to meyyonong a iraralay ta. Amin.
Romans	1	26	O akman sang a vazay da am to na macipanadngi ni Ama ta do to o onowned da a somagpyan. Ta o mavakes rana am mangzakza sira so kehngehngay da no kolit.
Romans	1	27	Sira akman sang o mahakay, ta da jyakzan o kapacitovong da do mavakes, ta ikeykakza da pa o kapacitovong da do icyamahakay da. Am ori o ipeydedna na jira no peyoyaoyyan na ni Ama ta do to a ingingnen no kataotao da.
Romans	1	28	Ji da ranakzan no tao o manoyong a nanao na ni Ama ta do to. Am ori o to na rana macipanadngi do onowned da a meyparahet a mapeyvazay so makararahet a vazay.
Romans	1	29	Yamakakaday o raraten do onowned da akman so mangagom, manginanahet, manwakwak so tao, mapatongtonggal, mangalalas a kano mangamaog no tao so ciring.
Romans	1	30	Sira macitamtamwad. Da pacioyyan si Ama ta do to. Da pasnesneken o kadwan jira. Da pazwain o kataotao da. Sira manrahet so aktokto a yameyraraten. Da jyaglawan o inyapwan da.
Romans	1	31	Sya akmey yabo so nakenakem. Da alalasan o mina ciring da. Yabo pangangarilawan da.
Romans	1	32	Tana katenngan da si Ama ta do to a amwoya no akman so sang a vazay am da jyamamman, ta da ikeykavevek a yamanara so tao a akman sira so vazay.
