,Bikolano,Cebuano,Chavacano,English,Ilokano,Ilonggo,Ivatan,Kapampangan,Mansaka,Pangasinan,Romblomanon,Spanish,Tagalog,Tausug,Waray,Yami
Bikolano,100,78.24448414,73.13892489,67.37056297,73.54285479,78.14936806,74.54024176,76.87758815,76.62861237,75.55509239,78.24508864,67.18943689,78.90078314,73.03841473,78.30535036,70.73709295
Cebuano,78.24448414,100,72.06281526,66.83794336,74.90118385,80.36155195,73.34305135,76.29371644,77.12851527,74.83384917,79.70167274,65.86149695,77.92324809,72.84622092,80.13344827,70.6507277
Chavacano,73.13892489,72.06281526,100,73.65920998,70.7408352,71.93449908,74.56779944,73.01314192,70.87954378,72.03660605,74.17177678,81.09287359,71.63839324,64.2883581,72.14633623,67.41702642
English,67.37056297,66.83794336,73.65920998,100,65.70332587,66.0256516,66.00789201,67.7211275,65.30979793,67.2584132,65.14923786,70.19502187,66.46237879,59.77936551,66.32687257,62.81997263
Ilokano,73.54285479,74.90118385,70.7408352,65.70332587,100,72.0716639,72.8281539,74.28182495,73.81633726,74.68594674,74.10350457,65.32342458,74.47885555,69.21257977,74.08906793,70.00318451
Ilonggo,78.14936806,80.36155195,71.93449908,66.0256516,72.0716639,100,72.7198065,76.10764557,77.23074628,74.31115261,80.12247675,66.00610864,77.61520587,74.20160372,78.33470898,69.86429015
Ivatan,74.54024176,73.34305135,74.56779944,66.00789201,72.8281539,72.7198065,100,73.15689761,75.34423172,74.78947583,74.45630303,67.32780765,73.47169013,69.74623936,73.46991245,77.62727128
Kapampangan,76.87758815,76.29371644,73.01314192,67.7211275,74.28182495,76.10764557,73.15689761,100,75.42400908,76.83348766,74.45497297,67.06036491,77.90239536,73.80455621,75.40226513,71.16426533
Mansaka,76.62861237,77.12851527,70.87954378,65.30979793,73.81633726,77.23074628,75.34423172,75.42400908,100,75.23922203,77.26569073,67.14372109,75.77876428,74.82870633,76.86859268,73.95234402
Pangasinan,75.55509239,74.83384917,72.03660605,67.2584132,74.68594674,74.31115261,74.78947583,76.83348766,75.23922203,100,74.11543699,66.63762844,75.48384248,70.5532093,74.337498,72.0955431
Romblomanon,78.24508864,79.70167274,74.17177678,65.14923786,74.10350457,80.12247675,74.45630303,74.45497297,77.26569073,74.11543699,100,65.89609494,77.27592028,73.53362709,79.57310767,70.36985024
Spanish,67.18943689,65.86149695,81.09287359,70.19502187,65.32342458,66.00610864,67.32780765,67.06036491,67.14372109,66.63762844,65.89609494,100,65.56781954,58.46702748,66.2614732,62.46418784
Tagalog,78.90078314,77.92324809,71.63839324,66.46237879,74.47885555,77.61520587,73.47169013,77.90239536,75.77876428,75.48384248,77.27592028,65.56781954,100,73.56106683,76.77035227,71.02159684
Tausug,73.03841473,72.84622092,64.2883581,59.77936551,69.21257977,74.20160372,69.74623936,73.80455621,74.82870633,70.5532093,73.53362709,58.46702748,73.56106683,100,71.92996522,68.48703593
Waray,78.30535036,80.13344827,72.14633623,66.32687257,74.08906793,78.33470898,73.46991245,75.40226513,76.86859268,74.337498,79.57310767,66.2614732,76.77035227,71.92996522,100,69.78768495
Yami,70.73709295,70.6507277,67.41702642,62.81997263,70.00318451,69.86429015,77.62727128,71.16426533,73.95234402,72.0955431,70.36985024,62.46418784,71.02159684,68.48703593,69.78768495,100
